lgchr	newstart	newfin	id	w	chr	oldstart	oldfin	ori
5	65384	67496	19	W	18680	1	2113	+
5	67597	75046	21	W	2589	1	7450	+
5	75147	22584164	23	W	5	1	22509018	+
6	1	1671	1	W	24480	1	1671	+
6	1772	4265	3	W	15317	1	2494	+
6	4366	6119	5	W	23214	1	1754	+
6	6220	7963	7	W	23346	1	1744	+
6	8064	11315	9	W	10831	1	3252	+
6	11416	13332	11	W	20962	1	1917	+
6	13433	16520	13	W	11786	1	3088	+
6	16621	17882	15	W	33132	1	1262	+
6	17983	23886	17	W	3969	1	5904	+
6	23987	33290	19	W	1915	1	9304	+
6	33391	36153	21	W	13617	1	2763	+
6	36254	37478	23	W	34105	1	1225	+
6	37579	38900	25	W	31535	1	1322	+
6	39001	40175	27	W	35693	1	1175	+
6	40276	42162	29	W	21294	1	1887	+
6	42263	43554	31	W	32370	1	1292	+
6	43655	45222	33	W	26167	1	1568	+
6	45323	46538	35	W	34376	1	1216	+
6	46639	48531	37	W	21220	1	1893	+
6	48632	58255	39	W	1805	1	9624	+
6	58356	73797	41	W	1082	1	15442	+
6	73898	76123	43	W	17493	1	2226	+
6	76224	109894	45	W	496	1	33671	-
6	109995	112517	47	W	15117	1	2523	-
6	112618	22522435	49	W	6	1	22409818	-
7	1	1426	1	W	29117	1	1426	-
7	1527	6482	3	W	5344	1	4956	+
7	6583	10017	5	W	9902	1	3435	+
7	10118	12064	7	W	20562	1	1947	+
7	12165	17976	9	W	4071	1	5812	+
7	18077	19763	11	W	24212	1	1687	+
7	19864	22320	13	W	15556	1	2457	+
7	22421	54673	15	W	521	1	32253	+
7	54774	56160	17	W	30038	1	1387	+
7	56261	57370	19	W	37937	1	1110	+
7	57471	96592	21	W	400	1	39122	+
7	96693	98514	23	W	22178	1	1822	+
7	98615	99710	25	W	38416	1	1096	+
7	99811	145253	27	W	328	1	45443	+
7	145354	199766	29	W	250	1	54413	+
7	199867	205749	31	W	3987	1	5883	+
7	205850	212858	33	W	2894	1	7009	+
7	212959	218596	35	W	4325	1	5638	+
7	218697	219809	37	W	37845	1	1113	+
7	219910	221631	39	W	23700	1	1722	+
7	221732	222762	41	W	40885	1	1031	+
7	222863	224185	43	W	31490	1	1323	+
7	224286	225656	45	W	30377	1	1371	+
7	225757	227832	47	W	19065	1	2076	+
7	227933	229297	49	W	30486	1	1365	+
7	229398	235682	51	W	3520	1	6285	+
7	235783	244466	53	W	2147	1	8684	+
7	244567	246238	55	W	24470	1	1672	+
7	246339	248157	57	W	22218	1	1819	+
7	248258	312648	59	W	198	1	64391	+
7	312749	21466240	61	W	7	1	21153492	-
8	1	3654	1	W	8999	1	3654	+
8	3755	4918	3	W	36067	1	1164	+
8	5019	6337	5	W	31639	1	1319	+
8	6438	13483	7	W	2858	1	7046	+
8	13584	14607	9	W	41199	1	1024	+
8	14708	16457	11	W	23271	1	1750	+
8	16558	126135	13	W	76	1	109578	+
8	126236	127795	15	W	26296	1	1560	+
8	127896	130559	17	W	14183	1	2664	+
8	130660	134939	19	W	7062	1	4280	+
8	135040	136163	21	W	37421	1	1124	+
8	136264	138441	23	W	17960	1	2178	+
8	138542	139947	25	W	29573	1	1406	+
8	140048	141097	27	W	40176	1	1050	+
8	141198	146464	29	W	4827	1	5267	+
8	146565	148131	31	W	26185	1	1567	+
8	148232	170829	33	W	755	1	22598	+
8	170930	312855	35	W	54	1	141926	+
8	312956	316105	37	W	11372	1	3150	+
8	316206	319209	39	W	12268	1	3004	+
8	319310	320916	41	W	25563	1	1607	+
8	321017	322924	43	W	21056	1	1908	+
8	323025	326737	45	W	8761	1	3713	+
8	326838	331024	47	W	7287	1	4187	+
8	331125	333970	49	W	13104	1	2846	+
8	334071	346387	51	W	1353	1	12317	+
8	346488	486668	53	W	55	1	140181	+
8	486769	527793	55	W	380	1	41025	+
8	527894	529081	57	W	35227	1	1188	+
8	529182	530737	59	W	26372	1	1556	+
8	530838	698221	61	W	46	1	167384	-
8	698222	732588	62	W	483	1	34367	+
8	732689	21851560	64	W	8	1	21118872	-
9	1	23813	1	W	722	1	23813	+
9	23914	120882	3	W	88	1	96969	+
9	120983	130493	5	W	1848	1	9511	+
9	130594	131602	7	W	41814	1	1009	+
9	131703	138514	9	W	3038	1	6812	+
9	138615	141476	11	W	13017	1	2862	+
9	141577	145723	13	W	7387	1	4147	+
9	145724	205383	14	W	209	1	59660	-
9	205484	210867	16	W	4682	1	5384	+
9	210968	212621	18	W	24737	1	1654	+
9	212722	258844	20	W	321	1	46123	+
9	258945	262920	22	W	7932	1	3976	+
9	263021	265097	24	W	19044	1	2077	+
9	265198	271437	26	W	3587	1	6240	+
9	271538	275518	28	W	7903	1	3981	+
9	275619	279565	30	W	8028	1	3947	+
9	279666	280905	32	W	33689	1	1240	+
9	281006	399113	34	W	68	1	118108	+
9	399214	444969	36	W	324	1	45756	+
9	445070	655458	38	W	39	1	210389	+
9	655559	663285	40	W	2453	1	7727	+
9	663386	680268	42	W	998	1	16883	+
9	680369	943443	44	W	36	1	263075	-
9	943544	965931	46	W	773	1	22388	-
9	966032	969180	48	W	11377	1	3149	+
9	969281	974014	50	W	5830	1	4734	-
9	974115	1144732	52	W	45	1	170618	-
9	1144833	1516921	54	W	32	1	372089	-
9	1517022	21566816	56	W	9	1	20049795	-
10	1	4171	1	W	7333	1	4171	-
10	4272	7577	3	W	10539	1	3306	+
10	7678	13540	5	W	4012	1	5863	+
10	13641	14979	7	W	31118	1	1339	+
10	15080	17617	9	W	14994	1	2538	+
10	17718	31062	11	W	1258	1	13345	+
10	31163	36313	13	W	5004	1	5151	+
10	36414	39244	15	W	13181	1	2831	+
10	39345	46103	17	W	3092	1	6759	+
10	46204	48428	19	W	17500	1	2225	+
10	48529	51751	21	W	10973	1	3223	+
10	51852	51921	23	W	1460	1	70	+
10	51922	63353	24	W	1465	1	11432	-
10	63454	67121	26	W	8930	1	3668	+
10	67222	72910	28	W	4235	1	5689	+
10	73011	74169	30	W	36233	1	1159	+
10	74270	75770	32	W	27498	1	1501	+
10	75871	129732	34	W	255	1	53862	+
10	129833	138918	36	W	1162	5240	14325	-
10	138919	228554	37	W	104	1	89636	-
10	228655	230042	39	W	29999	1	1388	+
10	230143	233314	41	W	11239	1	3172	+
10	233415	235355	43	W	20630	1	1941	+
10	235456	332567	45	W	87	1	97112	+
10	332668	334785	47	W	18604	1	2118	+
10	334886	336271	49	W	30062	1	1386	+
10	336372	338067	51	W	24056	1	1696	+
10	338168	374018	53	W	456	1	35851	+
10	374119	378067	55	W	8019	1	3949	+
10	378168	379311	57	W	36789	1	1144	+
10	379412	445939	59	W	185	1	66528	-
10	446040	562817	61	W	69	1	116778	-
10	562918	20534316	63	W	10	1	19971399	-
11	1	2882	1	W	12905	1	2882	+
11	2983	6002	3	W	12179	1	3020	+
11	6103	9210	5	W	11632	1	3108	+
11	9311	50650	7	W	377	1	41340	+
11	50751	51757	9	W	41853	1	1007	+
11	51858	83969	11	W	526	1	32112	+
11	84070	124986	13	W	382	1	40917	+
11	125087	157724	15	W	511	1	32638	+
11	157825	180212	17	W	772	1	22388	+
11	180313	182702	19	W	16117	1	2390	+
11	182803	190094	21	W	2690	1	7292	+
11	190195	192956	23	W	13626	1	2762	+
11	193057	198750	25	W	4228	1	5694	+
11	198851	255692	27	W	227	1	56842	+
11	255793	261185	29	W	4668	1	5393	+
11	261286	269139	31	W	2418	1	7854	+
11	269240	274429	33	W	4949	1	5190	+
11	274530	277918	35	W	10119	1	3389	+
11	278019	280296	37	W	17000	1	2278	+
11	280397	284430	39	W	7708	1	4034	+
11	284531	287022	41	W	15324	1	2492	+
11	287123	288486	43	W	30516	1	1364	+
11	288587	290231	45	W	24909	1	1645	+
11	290332	591233	47	W	34	1	300902	+
11	591334	20270690	49	W	11	1	19679357	+
12	1	2198	1	W	17762	1	2198	+
12	2299	7686	3	W	4675	1	5388	+
12	7787	11497	5	W	8764	1	3711	+
12	11598	15905	7	W	6985	1	4308	+
12	16006	25745	9	W	1763	1	9740	+
12	25846	29393	11	W	9390	1	3548	+
12	29494	32180	13	W	1973	1	2687	+
12	32181	39081	14	W	2975	1	6901	+
12	39182	41012	16	W	22052	1	1831	+
12	41113	46514	18	W	4662	1	5402	+
12	46615	51319	20	W	5873	1	4705	+
12	51420	52873	22	W	28467	1	1454	+
12	52974	55892	24	W	12709	1	2919	+
12	55993	59847	26	W	8279	1	3855	+
12	59948	61042	28	W	38448	1	1095	+
12	61143	127494	30	W	188	1	66352	+
12	127595	130360	32	W	13605	1	2766	+
12	130461	170146	34	W	391	1	39686	+
12	170247	179101	36	W	2090	1	8855	+
12	179202	198985	38	W	874	1	19784	+
12	199086	215323	40	W	1033	1	16238	+
12	215424	243795	42	W	605	1	28372	+
12	243896	250492	44	W	3250	1	6597	+
12	250593	322222	46	W	157	1	71630	+
12	322323	19341751	48	W	12	1	19019429	-
13	1	12099	1	W	1378	1	12099	+
13	12200	15253	3	W	11968	1	3054	+
13	15354	40688	5	W	679	1	25335	+
13	40789	47767	7	W	2923	1	6979	+
13	47868	56141	9	W	2264	1	8274	+
13	56242	66084	11	W	1742	1	9843	+
13	66185	71848	13	W	4296	1	5664	+
13	71949	76080	15	W	7423	1	4132	+
13	76181	79491	17	W	10506	1	3311	+
13	79592	80691	19	W	38293	1	1100	+
13	80792	81943	21	W	36516	1	1152	+
13	82044	83806	23	W	23057	1	1763	+
13	83907	85029	25	W	37490	1	1123	+
13	85130	85195	27	W	733	23403	23468	-
13	85196	109129	28	W	719	1	23934	-
13	109230	112305	30	W	11871	1	3076	+
13	112406	115318	32	W	12744	1	2913	+
13	115419	119645	34	W	7200	1	4227	+
13	119746	124037	36	W	7041	1	4292	+
13	124138	127029	38	W	12843	1	2892	+
13	127130	129255	40	W	18522	1	2126	+
13	129356	134606	42	W	4849	1	5251	+
13	134707	140942	44	W	3592	1	6236	+
13	140943	177928	45	W	304	11419	48404	-
13	177929	189453	46	W	1433	149	11673	+
13	189554	276879	48	W	108	1	87326	-
13	276980	315834	50	W	403	1	38855	-
13	315935	18869273	52	W	13	1	18553339	+
14	1	8321	1	W	2253	1	8321	+
14	8322	61479	2	W	261	1	53158	+
14	61580	66507	4	W	5401	1	4928	+
14	66608	70822	6	W	7220	1	4215	+
14	70923	73833	8	W	12754	1	2911	+
14	73934	76198	10	W	17123	1	2265	+
14	76299	78703	12	W	15965	1	2405	+
14	78804	80582	14	W	22822	1	1779	+
14	80683	108338	16	W	629	1	27656	+
14	108439	113527	18	W	5101	1	5089	+
14	113628	147355	20	W	495	1	33728	+
14	147456	150623	22	W	11269	1	3168	+
14	150724	152117	24	W	29828	1	1394	+
14	152218	159595	26	W	2628	1	7378	+
14	159596	209726	27	W	279	1	50131	-
14	209827	280346	29	W	166	1	70520	+
14	280447	351550	31	W	160	1	71104	+
14	351651	353584	33	W	20751	1	1934	+
14	353685	355288	35	W	25614	1	1604	+
14	355389	482276	37	W	62	1	126888	+
14	482377	489536	39	W	2777	1	7160	+
14	489637	491556	41	W	20917	1	1920	+
14	491557	533197	42	W	368	1	41641	-
14	533298	534454	44	W	36286	1	1157	+
14	534555	616589	46	W	122	1	82035	+
14	616690	875452	48	W	37	1	258763	+
14	875553	880896	50	W	4727	1	5344	-
14	880997	884572	52	W	9286	1	3576	-
14	884673	19115487	54	W	14	1	18230815	+
15	1	1494	1	W	27662	1	1494	+
15	1595	6018	3	W	6591	1	4424	+
15	6119	9642	5	W	9519	1	3524	+
15	9743	13985	7	W	7153	1	4243	+
15	14086	16795	9	W	13906	1	2710	+
15	16896	19679	11	W	13496	1	2784	+
15	19780	20915	13	W	37041	1	1136	+
15	21016	22295	15	W	32686	1	1280	+
15	22396	25728	17	W	10378	1	3333	+
15	25829	28057	19	W	17466	1	2229	+
15	28158	33162	21	W	5233	1	5005	+
15	33263	100415	23	W	182	1	67153	+
15	100516	102580	25	W	19223	1	2065	+
15	102681	104632	27	W	20500	1	1952	+
15	104733	106171	29	W	28788	1	1439	+
15	106272	109223	31	W	12533	1	2952	+
15	109324	112289	33	W	12460	1	2966	+
15	112390	114323	35	W	20753	1	1934	+
15	114424	115552	37	W	37274	1	1129	+
15	115653	118243	39	W	14614	1	2591	+
15	118344	151020	41	W	508	1	32677	+
15	151121	152901	43	W	22792	1	1781	+
15	153002	154993	45	W	20047	1	1992	+
15	155094	157024	47	W	20787	1	1931	+
15	157125	162726	49	W	4362	1	5602	+
15	162827	163863	51	W	40661	1	1037	+
15	163964	165995	53	W	19601	1	2032	+
15	166096	173556	55	W	2585	1	7461	+
15	173657	176761	57	W	11657	1	3105	+
15	176862	201825	59	W	689	1	24964	+
15	201926	206653	61	W	5837	1	4728	+
15	206754	220976	63	W	1171	1	14223	+
15	221077	224390	65	W	10493	1	3314	+
15	224491	226976	67	W	15355	1	2486	+
15	227077	229367	69	W	16908	1	2291	+
15	229368	312430	70	W	120	1	83063	-
15	312531	1122643	72	W	29	1	810113	-
15	1122744	19321485	74	W	15	1	18198742	+
16	1	5513	1	W	4482	1	5513	+
16	5614	8812	3	W	11111	1	3199	+
16	8913	47144	5	W	411	1	38232	+
16	47245	52212	7	W	5312	1	4968	+
16	52313	122967	9	W	162	1	70655	+
16	123068	125188	11	W	18577	1	2121	+
16	125289	154746	13	W	581	1	29458	+
16	154847	156952	15	W	18764	1	2106	+
16	157053	164837	17	W	2432	1	7785	+
16	164938	167645	19	W	13920	1	2708	+
16	167746	170269	21	W	15107	1	2524	+
16	170370	171623	23	W	33341	1	1254	+
16	171724	175127	25	W	10047	1	3404	+
16	175228	193434	27	W	933	1	18207	+
16	193535	195356	29	W	22181	1	1822	+
16	195457	196510	31	W	39972	1	1054	+
16	196611	198748	33	W	18381	1	2138	+
16	198849	280139	35	W	130	1	81291	-
16	280240	406810	37	W	63	1	126571	+
16	406911	18565547	39	W	16	1	18158637	+
17	1	79610	1	W	135	1	79610	-
17	79711	81520	3	W	22342	1	1810	+
17	81621	82993	5	W	30333	1	1373	+
17	83094	83102	7	W	30168	1373	1381	-
17	83103	85022	8	W	20115	67	1986	+
17	85123	87592	10	W	15473	1	2470	+
17	87693	88722	12	W	40916	1	1030	+
17	88823	128374	14	W	395	1	39552	+
17	128475	130918	16	W	15674	1	2444	+
17	131019	169320	18	W	409	1	38302	+
17	169421	217305	20	W	306	1	47885	+
17	217406	221101	22	W	8812	1	3696	+
17	221202	224347	24	W	11391	1	3146	+
17	224448	227993	26	W	9398	1	3546	+
17	228094	233156	28	W	5153	1	5063	+
17	233257	237118	30	W	8249	1	3862	+
17	237219	296263	32	W	213	1	59045	+
17	296364	304346	34	W	2363	1	7983	+
17	304447	314771	36	W	1637	1	10325	+
17	314872	318379	38	W	9586	1	3508	+
17	318480	328193	40	W	1777	1	9714	+
17	328294	330694	42	W	15997	1	2401	+
17	330795	332601	44	W	22394	1	1807	+
17	332702	407483	46	W	142	1	74782	+
17	407584	414397	48	W	3037	1	6814	+
17	414498	416137	50	W	24972	1	1640	+
17	416238	417446	52	W	34584	1	1209	+
17	417547	418547	54	W	42138	1	1001	+
17	418648	424141	56	W	4515	1	5494	+
17	424242	430269	58	W	3833	1	6028	+
17	430370	432648	60	W	16993	1	2279	+
17	432749	437473	62	W	5840	1	4725	+
17	437574	464593	64	W	643	1	27020	+
17	464694	466309	66	W	25412	1	1616	+
17	466410	469724	68	W	10484	1	3315	+
17	469825	562831	70	W	95	1	93007	+
17	562932	565238	72	W	16776	1	2307	+
17	565339	568799	74	W	9796	1	3461	+
17	568900	641990	76	W	149	1	73091	-
17	642091	645867	78	W	8530	1	3777	-
17	645968	18633436	80	W	17	1	17987469	+
18	1	3294	1	W	10588	1	3294	+
18	3395	54347	3	W	275	1	50953	+
18	54448	110522	5	W	236	1	56075	+
18	110623	116258	7	W	4329	1	5636	+
18	116359	120373	9	W	7784	1	4015	+
18	120474	122814	11	W	16511	1	2341	+
18	122915	129368	13	W	3377	1	6454	+
18	129469	183897	15	W	247	1	54429	+
18	183998	185161	17	W	36064	1	1164	+
18	185262	188096	19	W	13158	1	2835	+
18	188197	192320	21	W	7458	1	4124	+
18	192421	194645	23	W	17505	1	2225	+
18	194746	207696	25	W	1301	1	12951	+
18	207797	211013	27	W	11007	1	3217	+
18	211114	212812	29	W	24004	1	1699	+
18	212913	338899	31	W	64	1	125987	+
18	339000	341120	33	W	18573	1	2121	+
18	341221	346508	35	W	4803	1	5288	+
18	346609	382210	37	W	464	1	35602	+
18	382311	385181	39	W	12971	1	2871	+
18	385282	386609	41	W	31377	1	1328	+
18	386710	422840	43	W	449	1	36131	+
18	422941	430038	45	W	2826	1	7098	+
18	430139	431405	47	W	33007	1	1267	+
18	431506	434511	49	W	12250	1	3006	+
18	434612	441861	51	W	2714	1	7250	+
18	441962	446087	53	W	7447	1	4126	+
18	446188	658926	55	W	38	1	212739	-
18	659027	17605116	57	W	18	1	16946090	-
19	1	2462	1	W	15527	1	2462	+
19	2563	3708	3	W	36721	1	1146	+
19	3809	22579	5	W	906	1	18771	+
19	22680	25816	7	W	11451	1	3137	+
19	25917	35448	9	W	1844	1	9532	+
19	35549	40617	11	W	5143	1	5069	+
19	40718	63269	13	W	756	1	22552	+
19	63370	66274	15	W	12782	1	2905	+
19	66375	70856	17	W	6446	1	4482	+
19	70957	76061	19	W	5081	1	5105	+
19	76162	77266	21	W	38125	1	1105	+
19	77367	78415	23	W	40197	1	1049	+
19	78516	90725	25	W	1372	1	12210	+
19	90826	129400	27	W	406	1	38575	+
19	129501	133275	29	W	8536	1	3775	+
19	133376	140918	31	W	2532	1	7543	+
19	141019	144782	33	W	8580	1	3764	+
19	144883	153401	35	W	2195	1	8519	+
19	153502	156406	37	W	12780	1	2905	+
19	156507	158845	39	W	16524	1	2339	+
19	158946	161245	41	W	16832	1	2300	+
19	161346	182235	43	W	832	1	20890	-
19	182336	190583	45	W	2273	1	8248	-
19	190684	788424	47	W	30	1	597741	-
19	788525	16999983	49	W	19	1	16211459	+
20	1	5763	1	W	4136	1	5763	+
20	5864	10096	3	W	7179	1	4233	+
20	10197	13030	5	W	13166	1	2834	+
20	13131	15365	7	W	17389	1	2235	+
20	15466	17530	9	W	19212	1	2065	+
20	17631	23522	11	W	3976	1	5892	+
20	23623	25227	13	W	25606	1	1605	+
20	25328	28831	15	W	9603	1	3504	+
20	28932	31650	17	W	13856	1	2719	+
20	31751	35366	19	W	9133	1	3616	+
20	35467	116239	21	W	133	1	80773	+
20	116340	118723	23	W	16148	1	2384	+
20	118824	122182	25	W	10282	1	3359	+
20	122283	123542	27	W	33170	1	1260	+
20	123643	145246	29	W	809	1	21604	+
20	145347	149104	31	W	8602	1	3758	+
20	149205	151425	33	W	17530	1	2221	+
20	151526	153199	35	W	24452	1	1674	+
20	153300	171335	37	W	944	1	18036	+
20	171436	176514	39	W	5125	1	5079	+
20	176615	177867	41	W	33375	1	1253	+
20	177968	183425	43	W	4564	1	5458	+
20	183526	184598	45	W	39309	1	1073	+
20	184699	226357	47	W	367	1	41659	+
20	226458	229440	49	W	12356	1	2983	+
20	229541	231307	51	W	23010	1	1767	+
20	231308	240056	52	W	2126	1	8749	+
20	240157	245323	54	W	4987	1	5167	+
20	245424	250523	56	W	5084	1	5100	+
20	250624	253123	58	W	15275	1	2500	+
20	253224	290860	60	W	419	1	37637	+
20	290961	292269	62	W	31897	1	1309	+
20	292370	293555	64	W	35298	1	1186	+
20	293656	300751	66	W	2828	1	7096	+
20	300852	301851	68	W	42192	1	1000	+
20	301952	383469	70	W	127	1	81518	+
20	383570	401694	72	W	937	1	18125	-
20	401795	15746374	74	W	20	1	15344580	+
21	1	1355	1	W	30716	1	1355	+
21	1456	4373	3	W	12716	1	2918	+
21	4474	8296	5	W	8379	1	3823	+
21	8397	25488	7	W	986	1	17092	+
21	25589	29039	9	W	9834	1	3451	+
21	29140	32276	11	W	11449	1	3137	+
21	32377	34461	13	W	18961	1	2085	+
21	34562	37815	15	W	10822	1	3254	+
21	37916	40209	17	W	16884	1	2294	+
21	40310	45008	19	W	5888	1	4699	+
21	45109	53009	21	W	2396	1	7901	+
21	53110	54322	23	W	34469	1	1213	+
21	54423	146476	25	W	99	1	92054	+
21	146577	166098	27	W	886	1	19522	+
21	166199	167829	29	W	25154	1	1631	+
21	167930	213181	31	W	334	1	45252	+
21	213282	249472	33	W	447	1	36191	+
21	249573	259662	35	W	1682	1	10090	+
21	259763	266391	37	W	3201	1	6629	+
21	266492	269136	39	W	14291	1	2645	+
21	269237	272145	41	W	12758	1	2909	+
21	272246	274826	43	W	14715	1	2581	+
21	274927	277156	45	W	17457	1	2230	+
21	277257	365532	47	W	105	1	88276	+
21	365633	375500	49	W	1738	1	9868	+
21	375601	377028	51	W	29047	1	1428	+
21	377129	416688	53	W	394	1	39560	+
21	416789	420681	55	W	8167	1	3893	+
21	420782	483883	57	W	203	1	63102	+
21	483984	518249	59	W	485	1	34266	+
21	518350	561388	61	W	357	1	43039	+
21	561489	649685	63	W	106	1	88197	+
21	649786	675584	65	W	670	1	25799	+
21	675685	677597	67	W	21006	1	1913	+
21	677698	681552	69	W	8280	1	3855	+
21	681653	712922	71	W	545	1	31270	+
21	713023	714998	73	W	20229	1	1976	+
21	715099	718448	75	W	10315	1	3350	+
21	718549	743809	77	W	684	1	25261	-
21	743910	3557166	79	W	27	1	2813257	-
21	3557267	17851658	81	W	21	1	14294392	+
22	1	35376	1	W	468	1	35376	-
22	35477	42195	3	W	3132	1	6719	+
22	42296	115486	5	W	147	1	73191	+
22	115587	135711	7	W	854	1	20125	+
22	135812	137946	9	W	18405	1	2135	+
22	138047	139386	11	W	31085	1	1340	+
22	139487	141674	13	W	17854	1	2188	+
22	141775	145768	15	W	7856	1	3994	+
22	145869	150237	17	W	6789	1	4369	+
22	150238	164700	18	W	1153	1	14463	-
22	164801	167413	20	W	14472	1	2613	+
22	167514	185525	22	W	946	1	18012	+
22	185626	252478	24	W	183	1	66853	+
22	252579	278490	26	W	662	1	25912	+
22	278591	281252	28	W	14195	1	2662	+
22	281353	286389	30	W	5191	1	5037	+
22	286390	352820	31	W	186	1	66431	-
22	352921	364188	33	W	1499	1	11268	+
22	364289	366956	35	W	14149	1	2668	+
22	367057	379141	37	W	1381	1	12085	+
22	379242	380677	39	W	28866	1	1436	+
22	380778	383042	41	W	17135	1	2265	+
22	383143	412183	43	W	591	1	29041	+
22	412284	416202	45	W	8099	1	3919	+
22	416303	434537	47	W	929	1	18235	+
22	434638	437945	49	W	10527	1	3308	+
22	438046	442577	51	W	6324	1	4532	+
22	442678	447681	53	W	1191	1	5004	+
22	447682	462039	54	W	1161	1	14358	-
22	462140	466959	56	W	5666	1	4820	+
22	467060	469616	58	W	14883	1	2557	+
22	469717	472130	60	W	15887	1	2414	+
22	472231	476600	62	W	6786	1	4370	-
22	476701	1331783	64	W	28	1	855083	-
22	1331884	1493752	66	W	47	1	161869	-
22	1493853	1565125	68	W	158	1	71273	-
22	1565226	9383967	70	W	25	1	7818742	-
22	9384068	14108927	72	W	26	1	4724860	+
22	14109028	27251286	74	W	22	1	13142259	-
23	1	3054	1	W	11972	1	3054	+
