CHR	maps	lgchr	LG.x	gpos	chr	pphys	LG.y	LG_start	LG_end	n_contig	contig_type	contig_id	contig_start	contig_end	orientation	anchored
32708	GA	7	1	158.366	7	20026333	7	1520370	21570164	57	W	9	1	20049795	+	1
28899	GA	7	1	153.017	7	591508	7	476819	594926	31	W	68	1	118108	+	1
108364	GA	7	1	148.46800000000002	17	12063228	17	638492	18625960	71	W	17	1	17987469	+	1
131	GA	7	1	143.12	7	20971707	7	1520370	21570164	57	W	9	1	20049795	+	1
131	GA	7	1	143.12	7	20971694	7	1520370	21570164	57	W	9	1	20049795	+	1
14114	GA	7	1	140.897	7	18469158	7	1520370	21570164	57	W	9	1	20049795	+	1
44187	GA	7	1	140.897	7	17894711	7	1520370	21570164	57	W	9	1	20049795	+	1
31977	GA	7	1	140.897	7	17675270	7	1520370	21570164	57	W	9	1	20049795	+	1
75755	GA	7	1	140.897	7	17738268	7	1520370	21570164	57	W	9	1	20049795	+	1
6286	GA	7	1	140.897	7	18262750	7	1520370	21570164	57	W	9	1	20049795	+	1
27131	GA	7	1	140.897	7	17497750	7	1520370	21570164	57	W	9	1	20049795	+	1
1958	GA	7	1	140.897	7	18490029	7	1520370	21570164	57	W	9	1	20049795	+	1
82810	GA	7	1	140.897	7	18940574	7	1520370	21570164	57	W	9	1	20049795	+	1
71899	GA	7	1	140.897	7	18561769	7	1520370	21570164	57	W	9	1	20049795	+	1
14114	GA	7	1	140.897	7	18469178	7	1520370	21570164	57	W	9	1	20049795	+	1
110005	GA	7	1	140.897	7	18208586	7	1520370	21570164	57	W	9	1	20049795	+	1
23727	GA	7	1	140.897	7	17631636	7	1520370	21570164	57	W	9	1	20049795	+	1
27334	GA	7	1	140.897	7	18373918	7	1520370	21570164	57	W	9	1	20049795	+	1
28940	GA	7	1	140.897	7	18440763	7	1520370	21570164	57	W	9	1	20049795	+	1
28717	GA	7	1	140.897	7	17534083	7	1520370	21570164	57	W	9	1	20049795	+	1
97577	GA	7	1	140.897	7	18165438	7	1520370	21570164	57	W	9	1	20049795	+	1
3913	GA	7	1	140.897	7	17873440	7	1520370	21570164	57	W	9	1	20049795	+	1
2646	GA	7	1	140.897	7	17876875	7	1520370	21570164	57	W	9	1	20049795	+	1
106046	GA	7	1	140.897	7	18159161	7	1520370	21570164	57	W	9	1	20049795	+	1
19143	GA	7	1	140.897	7	18325942	7	1520370	21570164	57	W	9	1	20049795	+	1
14114	GA	7	1	140.897	7	18469163	7	1520370	21570164	57	W	9	1	20049795	+	1
181	GA	7	1	140.897	7	18388114	7	1520370	21570164	57	W	9	1	20049795	+	1
5356	GA	7	1	140.897	7	17775166	7	1520370	21570164	57	W	9	1	20049795	+	1
1958	GA	7	1	140.897	7	18490001	7	1520370	21570164	57	W	9	1	20049795	+	1
34465	GA	7	1	140.897	7	18930122	7	1520370	21570164	57	W	9	1	20049795	+	1
28940	GA	7	1	140.897	7	18440784	7	1520370	21570164	57	W	9	1	20049795	+	1
6286	GA	7	1	140.897	7	18262732	7	1520370	21570164	57	W	9	1	20049795	+	1
27334	GA	7	1	140.897	7	18373932	7	1520370	21570164	57	W	9	1	20049795	+	1
6286	GA	7	1	140.897	7	18262783	7	1520370	21570164	57	W	9	1	20049795	+	1
85217	GA	7	1	140.897	7	17876899	7	1520370	21570164	57	W	9	1	20049795	+	1
5356	GA	7	1	140.897	7	17775164	7	1520370	21570164	57	W	9	1	20049795	+	1
42611	GA	7	1	140.897	7	19574783	7	1520370	21570164	57	W	9	1	20049795	+	1
41488	GA	7	1	140.897	7	18159144	7	1520370	21570164	57	W	9	1	20049795	+	1
23727	GA	7	1	140.897	7	17631618	7	1520370	21570164	57	W	9	1	20049795	+	1
85217	GA	7	1	140.897	7	17876904	7	1520370	21570164	57	W	9	1	20049795	+	1
83291	GA	7	1	140.897	7	18030403	7	1520370	21570164	57	W	9	1	20049795	+	1
35502	GA	7	1	140.897	7	17859545	7	1520370	21570164	57	W	9	1	20049795	+	1
5350	GA	7	1	140.897	7	17445606	7	1520370	21570164	57	W	9	1	20049795	+	1
66987	GA	7	1	140.897	7	18178125	7	1520370	21570164	57	W	9	1	20049795	+	1
84619	GA	7	1	140.897	7	17481460	7	1520370	21570164	57	W	9	1	20049795	+	1
117070	GA	7	1	140.897	7	18681424	7	1520370	21570164	57	W	9	1	20049795	+	1
5356	GA	7	1	140.897	7	17775167	7	1520370	21570164	57	W	9	1	20049795	+	1
28940	GA	7	1	140.897	7	18440781	7	1520370	21570164	57	W	9	1	20049795	+	1
5356	GA	7	1	140.897	7	17775134	7	1520370	21570164	57	W	9	1	20049795	+	1
38652	GA	7	1	140.897	7	18236156	7	1520370	21570164	57	W	9	1	20049795	+	1
75215	GA	7	1	140.897	7	17605181	7	1520370	21570164	57	W	9	1	20049795	+	1
5356	GA	7	1	140.897	7	17775133	7	1520370	21570164	57	W	9	1	20049795	+	1
35502	GA	7	1	140.897	7	17859564	7	1520370	21570164	57	W	9	1	20049795	+	1
14114	GA	7	1	140.897	7	18469135	7	1520370	21570164	57	W	9	1	20049795	+	1
6286	GA	7	1	140.897	7	18262787	7	1520370	21570164	57	W	9	1	20049795	+	1
35502	GA	7	1	140.897	7	17859579	7	1520370	21570164	57	W	9	1	20049795	+	1
93003	GA	7	1	140.897	7	21337527	7	1520370	21570164	57	W	9	1	20049795	+	1
52511	GA	7	1	140.897	7	18534981	7	1520370	21570164	57	W	9	1	20049795	+	1
25647	GA	7	1	140.897	7	18261219	7	1520370	21570164	57	W	9	1	20049795	+	1
85217	GA	7	1	140.897	7	17876919	7	1520370	21570164	57	W	9	1	20049795	+	1
102441	GA	7	1	140.897	7	17914667	7	1520370	21570164	57	W	9	1	20049795	+	1
91397	GA	7	1	140.897	7	18797505	7	1520370	21570164	57	W	9	1	20049795	+	1
6286	GA	7	1	140.897	7	18262746	7	1520370	21570164	57	W	9	1	20049795	+	1
106746	GA	7	1	140.897	7	18339621	7	1520370	21570164	57	W	9	1	20049795	+	1
107421	GA	7	1	140.897	7	18159325	7	1520370	21570164	57	W	9	1	20049795	+	1
90723	GA	7	1	140.897	7	17540904	7	1520370	21570164	57	W	9	1	20049795	+	1
113267	GA	7	1	140.897	7	18637531	7	1520370	21570164	57	W	9	1	20049795	+	1
50517	GA	7	1	140.897	7	18203400	7	1520370	21570164	57	W	9	1	20049795	+	1
4401	GA	7	1	140.897	7	18309941	7	1520370	21570164	57	W	9	1	20049795	+	1
76866	GA	7	1	140.897	7	18028093	7	1520370	21570164	57	W	9	1	20049795	+	1
80828	GA	7	1	140.897	7	17741657	7	1520370	21570164	57	W	9	1	20049795	+	1
102441	GA	7	1	140.897	7	17914677	7	1520370	21570164	57	W	9	1	20049795	+	1
51464	GA	7	1	140.897	7	17572012	7	1520370	21570164	57	W	9	1	20049795	+	1
51464	GA	7	1	140.897	7	17572054	7	1520370	21570164	57	W	9	1	20049795	+	1
23727	GA	7	1	140.897	7	17631677	7	1520370	21570164	57	W	9	1	20049795	+	1
23727	GA	7	1	140.897	7	17631619	7	1520370	21570164	57	W	9	1	20049795	+	1
59075	GA	7	1	140.897	7	18855201	7	1520370	21570164	57	W	9	1	20049795	+	1
20718	GA	7	1	140.897	7	18420851	7	1520370	21570164	57	W	9	1	20049795	+	1
2646	GA	7	1	140.897	7	17876878	7	1520370	21570164	57	W	9	1	20049795	+	1
113478	GA	7	1	140.897	7	18291006	7	1520370	21570164	57	W	9	1	20049795	+	1
20718	GA	7	1	140.897	7	18420855	7	1520370	21570164	57	W	9	1	20049795	+	1
121091	GA	7	1	140.897	7	17614637	7	1520370	21570164	57	W	9	1	20049795	+	1
39776	GA	7	1	140.897	7	17449274	7	1520370	21570164	57	W	9	1	20049795	+	1
77302	GA	7	1	140.167	7	17358447	7	1520370	21570164	57	W	9	1	20049795	+	1
4401	GA	7	1	140.167	7	18309877	7	1520370	21570164	57	W	9	1	20049795	+	1
110534	GA	7	1	140.167	7	17306904	7	1520370	21570164	57	W	9	1	20049795	+	1
77302	GA	7	1	140.167	7	17358498	7	1520370	21570164	57	W	9	1	20049795	+	1
45387	GA	7	1	140.167	7	17256345	7	1520370	21570164	57	W	9	1	20049795	+	1
103918	GA	7	1	140.167	7	17404756	7	1520370	21570164	57	W	9	1	20049795	+	1
39774	GA	7	1	140.167	7	17382009	7	1520370	21570164	57	W	9	1	20049795	+	1
73361	GA	7	1	140.167	7	17322824	7	1520370	21570164	57	W	9	1	20049795	+	1
73361	GA	7	1	140.167	7	17322808	7	1520370	21570164	57	W	9	1	20049795	+	1
108414	GA	7	1	140.167	7	17332389	7	1520370	21570164	57	W	9	1	20049795	+	1
110534	GA	7	1	140.167	7	17306919	7	1520370	21570164	57	W	9	1	20049795	+	1
15452	GA	7	1	138.697	7	16994414	7	1520370	21570164	57	W	9	1	20049795	+	1
59343	GA	7	1	138.697	7	17022289	7	1520370	21570164	57	W	9	1	20049795	+	1
83900	GA	7	1	138.697	7	17164296	7	1520370	21570164	57	W	9	1	20049795	+	1
87624	GA	7	1	138.697	7	17148422	7	1520370	21570164	57	W	9	1	20049795	+	1
73245	GA	7	1	138.697	7	17120614	7	1520370	21570164	57	W	9	1	20049795	+	1
67216	GA	7	1	138.697	7	16901323	7	1520370	21570164	57	W	9	1	20049795	+	1
61584	GA	7	1	138.697	7	17115801	7	1520370	21570164	57	W	9	1	20049795	+	1
2542	GA	7	1	138.697	7	16937652	7	1520370	21570164	57	W	9	1	20049795	+	1
57706	GA	7	1	138.697	7	16933749	7	1520370	21570164	57	W	9	1	20049795	+	1
280	GA	7	1	138.697	7	16953946	7	1520370	21570164	57	W	9	1	20049795	+	1
101979	GA	7	1	138.697	7	17038826	7	1520370	21570164	57	W	9	1	20049795	+	1
31232	GA	7	1	138.697	7	17139957	7	1520370	21570164	57	W	9	1	20049795	+	1
88389	GA	7	1	138.697	7	16768171	7	1520370	21570164	57	W	9	1	20049795	+	1
67216	GA	7	1	138.697	7	16901354	7	1520370	21570164	57	W	9	1	20049795	+	1
104247	GA	7	1	138.697	7	16820453	7	1520370	21570164	57	W	9	1	20049795	+	1
59343	GA	7	1	138.697	7	17022346	7	1520370	21570164	57	W	9	1	20049795	+	1
57706	GA	7	1	138.697	7	16933752	7	1520370	21570164	57	W	9	1	20049795	+	1
87624	GA	7	1	138.697	7	17148395	7	1520370	21570164	57	W	9	1	20049795	+	1
59343	GA	7	1	138.697	7	17022334	7	1520370	21570164	57	W	9	1	20049795	+	1
26000	GA	7	1	138.697	7	17125720	7	1520370	21570164	57	W	9	1	20049795	+	1
84348	GA	7	1	138.697	7	17120589	7	1520370	21570164	57	W	9	1	20049795	+	1
67216	GA	7	1	138.697	7	16901343	7	1520370	21570164	57	W	9	1	20049795	+	1
33653	GA	7	1	137.967	7	16723507	7	1520370	21570164	57	W	9	1	20049795	+	1
29096	GA	7	1	137.967	7	16797598	7	1520370	21570164	57	W	9	1	20049795	+	1
111859	GA	7	1	137.967	7	16911370	7	1520370	21570164	57	W	9	1	20049795	+	1
101240	GA	7	1	137.967	7	16769886	7	1520370	21570164	57	W	9	1	20049795	+	1
95706	GA	7	1	137.967	7	16651870	7	1520370	21570164	57	W	9	1	20049795	+	1
17912	GA	7	1	137.967	7	16760197	7	1520370	21570164	57	W	9	1	20049795	+	1
110389	GA	7	1	137.967	7	16702363	7	1520370	21570164	57	W	9	1	20049795	+	1
29096	GA	7	1	137.967	7	16797594	7	1520370	21570164	57	W	9	1	20049795	+	1
44678	GA	7	1	137.967	7	16640731	7	1520370	21570164	57	W	9	1	20049795	+	1
29096	GA	7	1	137.967	7	16797580	7	1520370	21570164	57	W	9	1	20049795	+	1
29096	GA	7	1	137.967	7	16797566	7	1520370	21570164	57	W	9	1	20049795	+	1
83806	GA	7	1	137.967	7	16885929	7	1520370	21570164	57	W	9	1	20049795	+	1
51949	GA	7	1	137.967	7	16730562	7	1520370	21570164	57	W	9	1	20049795	+	1
38905	GA	7	1	137.967	7	16639271	7	1520370	21570164	57	W	9	1	20049795	+	1
29096	GA	7	1	137.967	7	16797568	7	1520370	21570164	57	W	9	1	20049795	+	1
85074	GA	7	1	137.967	7	16883674	7	1520370	21570164	57	W	9	1	20049795	+	1
3521	GA	7	1	137.967	7	16789276	7	1520370	21570164	57	W	9	1	20049795	+	1
108869	GA	7	1	137.967	7	16705196	7	1520370	21570164	57	W	9	1	20049795	+	1
18363	GA	7	1	137.237	7	16600325	7	1520370	21570164	57	W	9	1	20049795	+	1
45835	GA	7	1	137.237	7	16573421	7	1520370	21570164	57	W	9	1	20049795	+	1
38905	GA	7	1	137.237	7	16639300	7	1520370	21570164	57	W	9	1	20049795	+	1
749	GA	7	1	137.237	7	16613952	7	1520370	21570164	57	W	9	1	20049795	+	1
51068	GA	7	1	136.507	7	16421446	7	1520370	21570164	57	W	9	1	20049795	+	1
32586	GA	7	1	136.507	7	16444010	7	1520370	21570164	57	W	9	1	20049795	+	1
56815	GA	7	1	136.507	7	16560272	7	1520370	21570164	57	W	9	1	20049795	+	1
105581	GA	7	1	136.507	7	16457240	7	1520370	21570164	57	W	9	1	20049795	+	1
39754	GA	7	1	136.507	7	16504198	7	1520370	21570164	57	W	9	1	20049795	+	1
25557	GA	7	1	136.507	7	16525001	7	1520370	21570164	57	W	9	1	20049795	+	1
115671	GA	7	1	136.507	7	16475258	7	1520370	21570164	57	W	9	1	20049795	+	1
3832	GA	7	1	136.507	7	16502330	7	1520370	21570164	57	W	9	1	20049795	+	1
56815	GA	7	1	136.507	7	16560237	7	1520370	21570164	57	W	9	1	20049795	+	1
51068	GA	7	1	136.507	7	16421444	7	1520370	21570164	57	W	9	1	20049795	+	1
22747	GA	7	1	136.507	7	16444002	7	1520370	21570164	57	W	9	1	20049795	+	1
19137	GA	7	1	136.507	7	16442984	7	1520370	21570164	57	W	9	1	20049795	+	1
22747	GA	7	1	136.507	7	16444014	7	1520370	21570164	57	W	9	1	20049795	+	1
115671	GA	7	1	136.507	7	16475220	7	1520370	21570164	57	W	9	1	20049795	+	1
22747	GA	7	1	135.036	7	16443975	7	1520370	21570164	57	W	9	1	20049795	+	1
20265	GA	7	1	134.306	7	16349096	7	1520370	21570164	57	W	9	1	20049795	+	1
39863	GA	7	1	134.306	7	16342854	7	1520370	21570164	57	W	9	1	20049795	+	1
20931	GA	7	1	132.835	7	16300116	7	1520370	21570164	57	W	9	1	20049795	+	1
37298	GA	7	1	132.106	7	16190353	7	1520370	21570164	57	W	9	1	20049795	+	1
3910	GA	7	1	132.106	7	16080369	7	1520370	21570164	57	W	9	1	20049795	+	1
3910	GA	7	1	132.106	7	16080321	7	1520370	21570164	57	W	9	1	20049795	+	1
2650	GA	7	1	132.106	7	16114409	7	1520370	21570164	57	W	9	1	20049795	+	1
1291	GA	7	1	132.106	7	16073458	7	1520370	21570164	57	W	9	1	20049795	+	1
89842	GA	7	1	132.106	7	16089794	7	1520370	21570164	57	W	9	1	20049795	+	1
1291	GA	7	1	132.106	7	16073495	7	1520370	21570164	57	W	9	1	20049795	+	1
1291	GA	7	1	132.106	7	16073440	7	1520370	21570164	57	W	9	1	20049795	+	1
4365	GA	7	1	132.106	7	16068228	7	1520370	21570164	57	W	9	1	20049795	+	1
46233	GA	7	1	132.106	7	16126168	7	1520370	21570164	57	W	9	1	20049795	+	1
37872	GA	7	1	131.376	7	16025849	7	1520370	21570164	57	W	9	1	20049795	+	1
5057	GA	7	1	130.64600000000002	7	16204157	7	1520370	21570164	57	W	9	1	20049795	+	1
26545	GA	7	1	129.916	7	15980098	7	1520370	21570164	57	W	9	1	20049795	+	1
26545	GA	7	1	129.916	7	15980102	7	1520370	21570164	57	W	9	1	20049795	+	1
88600	GA	7	1	129.916	7	15941058	7	1520370	21570164	57	W	9	1	20049795	+	1
26545	GA	7	1	129.916	7	15980149	7	1520370	21570164	57	W	9	1	20049795	+	1
41017	GA	7	1	129.916	7	15569347	7	1520370	21570164	57	W	9	1	20049795	+	1
41017	GA	7	1	129.916	7	15569325	7	1520370	21570164	57	W	9	1	20049795	+	1
13507	GA	7	1	129.916	7	15026962	7	1520370	21570164	57	W	9	1	20049795	+	1
41017	GA	7	1	129.916	7	15569345	7	1520370	21570164	57	W	9	1	20049795	+	1
675	GA	7	1	129.186	7	15094631	7	1520370	21570164	57	W	9	1	20049795	+	1
1196	GA	7	1	129.186	7	15176886	7	1520370	21570164	57	W	9	1	20049795	+	1
80074	GA	7	1	129.186	7	15441422	7	1520370	21570164	57	W	9	1	20049795	+	1
74127	GA	7	1	129.186	7	15833479	7	1520370	21570164	57	W	9	1	20049795	+	1
85860	GA	7	1	129.186	7	15154021	7	1520370	21570164	57	W	9	1	20049795	+	1
41017	GA	7	1	129.186	7	15569360	7	1520370	21570164	57	W	9	1	20049795	+	1
103678	GA	7	1	129.186	7	15571780	7	1520370	21570164	57	W	9	1	20049795	+	1
112242	GA	7	1	129.186	7	15139437	7	1520370	21570164	57	W	9	1	20049795	+	1
36327	GA	7	1	129.186	7	15171838	7	1520370	21570164	57	W	9	1	20049795	+	1
80074	GA	7	1	129.186	7	15441414	7	1520370	21570164	57	W	9	1	20049795	+	1
29874	GA	7	1	129.186	7	15912986	7	1520370	21570164	57	W	9	1	20049795	+	1
1152	GA	7	1	129.186	7	19503256	7	1520370	21570164	57	W	9	1	20049795	+	1
109938	GA	7	1	129.186	7	15299495	7	1520370	21570164	57	W	9	1	20049795	+	1
31391	GA	7	1	129.186	7	19529514	7	1520370	21570164	57	W	9	1	20049795	+	1
72654	GA	7	1	129.186	7	15623915	7	1520370	21570164	57	W	9	1	20049795	+	1
60461	GA	7	1	129.186	7	15799626	7	1520370	21570164	57	W	9	1	20049795	+	1
106796	GA	7	1	129.186	7	15819027	7	1520370	21570164	57	W	9	1	20049795	+	1
48009	GA	7	1	129.186	7	15024822	7	1520370	21570164	57	W	9	1	20049795	+	1
112242	GA	7	1	129.186	7	15139428	7	1520370	21570164	57	W	9	1	20049795	+	1
47166	GA	7	1	129.186	7	15033288	7	1520370	21570164	57	W	9	1	20049795	+	1
675	GA	7	1	129.186	7	15094667	7	1520370	21570164	57	W	9	1	20049795	+	1
38638	GA	7	1	129.186	7	15624825	7	1520370	21570164	57	W	9	1	20049795	+	1
112242	GA	7	1	129.186	7	15139418	7	1520370	21570164	57	W	9	1	20049795	+	1
45203	GA	7	1	129.186	7	15233082	7	1520370	21570164	57	W	9	1	20049795	+	1
102766	GA	7	1	129.186	7	15274590	7	1520370	21570164	57	W	9	1	20049795	+	1
103678	GA	7	1	129.186	7	15571778	7	1520370	21570164	57	W	9	1	20049795	+	1
19550	GA	7	1	129.186	7	15455387	7	1520370	21570164	57	W	9	1	20049795	+	1
121857	GA	7	1	129.186	7	15801053	7	1520370	21570164	57	W	9	1	20049795	+	1
64164	GA	7	1	129.186	7	15712646	7	1520370	21570164	57	W	9	1	20049795	+	1
24397	GA	7	1	129.186	7	15608786	7	1520370	21570164	57	W	9	1	20049795	+	1
1196	GA	7	1	129.186	7	15176855	7	1520370	21570164	57	W	9	1	20049795	+	1
61512	GA	7	1	129.186	7	15489612	7	1520370	21570164	57	W	9	1	20049795	+	1
3053	GA	7	1	129.186	7	15474672	7	1520370	21570164	57	W	9	1	20049795	+	1
24397	GA	7	1	129.186	7	15608767	7	1520370	21570164	57	W	9	1	20049795	+	1
42369	GA	7	1	129.186	7	15424124	7	1520370	21570164	57	W	9	1	20049795	+	1
112323	GA	7	1	129.186	7	15420643	7	1520370	21570164	57	W	9	1	20049795	+	1
101967	GA	7	1	129.186	7	15221753	7	1520370	21570164	57	W	9	1	20049795	+	1
103678	GA	7	1	129.186	7	15571771	7	1520370	21570164	57	W	9	1	20049795	+	1
94345	GA	7	1	129.186	7	15908776	7	1520370	21570164	57	W	9	1	20049795	+	1
111089	GA	7	1	129.186	7	15600260	7	1520370	21570164	57	W	9	1	20049795	+	1
111089	GA	7	1	129.186	7	15600261	7	1520370	21570164	57	W	9	1	20049795	+	1
111553	GA	7	1	129.186	7	15326931	7	1520370	21570164	57	W	9	1	20049795	+	1
117194	GA	7	1	129.186	7	15499077	7	1520370	21570164	57	W	9	1	20049795	+	1
10537	GA	7	1	129.186	7	15593074	7	1520370	21570164	57	W	9	1	20049795	+	1
94345	GA	7	1	129.186	7	15908773	7	1520370	21570164	57	W	9	1	20049795	+	1
81030	GA	7	1	129.186	7	15608758	7	1520370	21570164	57	W	9	1	20049795	+	1
76431	GA	7	1	129.186	7	15116127	7	1520370	21570164	57	W	9	1	20049795	+	1
102766	GA	7	1	129.186	7	15274577	7	1520370	21570164	57	W	9	1	20049795	+	1
42369	GA	7	1	129.186	7	15424108	7	1520370	21570164	57	W	9	1	20049795	+	1
61512	GA	7	1	129.186	7	15489608	7	1520370	21570164	57	W	9	1	20049795	+	1
80074	GA	7	1	129.186	7	15441395	7	1520370	21570164	57	W	9	1	20049795	+	1
112242	GA	7	1	129.186	7	15139414	7	1520370	21570164	57	W	9	1	20049795	+	1
121568	GA	7	1	129.186	7	15176313	7	1520370	21570164	57	W	9	1	20049795	+	1
113732	GA	7	1	127.715	7	14990407	7	1520370	21570164	57	W	9	1	20049795	+	1
113732	GA	7	1	127.715	7	14990431	7	1520370	21570164	57	W	9	1	20049795	+	1
104933	GA	7	1	126.985	7	14947563	7	1520370	21570164	57	W	9	1	20049795	+	1
74332	GA	7	1	126.985	7	14942001	7	1520370	21570164	57	W	9	1	20049795	+	1
36605	GA	7	1	126.985	7	14913051	7	1520370	21570164	57	W	9	1	20049795	+	1
47214	GA	7	1	126.985	7	14928329	7	1520370	21570164	57	W	9	1	20049795	+	1
760	GA	7	1	126.985	7	14979078	7	1520370	21570164	57	W	9	1	20049795	+	1
760	GA	7	1	126.985	7	14979066	7	1520370	21570164	57	W	9	1	20049795	+	1
107743	GA	7	1	126.985	7	14964129	7	1520370	21570164	57	W	9	1	20049795	+	1
72	GA	7	1	126.985	7	14950690	7	1520370	21570164	57	W	9	1	20049795	+	1
2064	GA	7	1	126.985	7	14922173	7	1520370	21570164	57	W	9	1	20049795	+	1
47214	GA	7	1	126.985	7	14928278	7	1520370	21570164	57	W	9	1	20049795	+	1
74332	GA	7	1	126.985	7	14942017	7	1520370	21570164	57	W	9	1	20049795	+	1
121613	GA	7	1	126.25500000000001	7	14873754	7	1520370	21570164	57	W	9	1	20049795	+	1
281	GA	7	1	125.525	7	14832332	7	1520370	21570164	57	W	9	1	20049795	+	1
106832	GA	7	1	124.055	7	14763296	7	1520370	21570164	57	W	9	1	20049795	+	1
103988	GA	7	1	124.055	7	14705026	7	1520370	21570164	57	W	9	1	20049795	+	1
75826	GA	7	1	124.055	7	14667649	7	1520370	21570164	57	W	9	1	20049795	+	1
23313	GA	7	1	124.055	7	14796962	7	1520370	21570164	57	W	9	1	20049795	+	1
