LG	ogchr	ogphys	lgchr	pos
LG02	1	7790028	1	116.636
LG02	1	7827109	1	115.176
LG02	1	7827112	1	115.176
LG02	1	7827112	1	115.176
LG02	1	7827112	1	115.176
LG02	1	7827112	1	115.176
LG02	1	7858055	1	115.176
LG02	1	7858055	1	115.176
LG02	1	7874251	1	115.176
LG02	1	7882691	1	115.176
LG02	1	7888963	1	115.176
LG02	1	7896046	1	115.176
LG02	1	7896046	1	115.176
LG02	1	7924363	1	115.906
LG02	1	7927773	1	115.176
LG02	1	7945198	1	115.176
LG02	1	7965506	1	115.176
LG02	1	8011914	1	115.176
LG02	1	8145700	1	115.176
LG02	1	8145700	1	115.176
LG02	1	8147908	1	115.176
LG02	1	8147908	1	115.176
LG02	1	8209964	1	114.446
LG02	1	8209964	1	114.446
LG02	1	8345189	1	113.716
LG02	1	8345189	1	113.716
LG02	1	8357974	1	113.716
LG02	1	8357974	1	113.716
LG02	1	8375561	1	113.716
LG02	1	8377840	1	113.716
LG02	1	8402642	1	113.716
LG02	1	8402642	1	113.716
LG02	1	8447287	1	112.246
LG02	1	8447287	1	112.246
LG02	1	8538349	1	111.516
LG02	1	8599673	1	111.516
LG02	1	8622195	1	111.516
LG02	1	8622195	1	111.516
LG02	1	8735275	1	110.056
LG02	1	8743195	1	110.056
LG02	1	8743195	1	110.786
LG02	1	8745362	1	110.056
LG02	1	8770559	1	110.056
LG02	1	8895757	1	110.056
LG02	1	8895757	1	110.056
LG02	1	8929995	1	109.326
LG02	1	8942017	1	110.056
LG02	1	8942017	1	110.056
LG02	1	8942017	1	110.056
LG02	1	8951080	1	110.056
LG02	1	8992771	1	109.326
LG02	1	9023280	1	109.326
LG02	1	9031677	1	109.326
LG02	1	9042464	1	109.326
LG02	1	9042464	1	109.326
LG02	1	9053266	1	109.326
LG02	1	9170269	1	108.596
LG02	1	9188014	1	108.596
LG02	1	9500946	1	107.866
LG02	1	9511859	1	107.866
LG02	1	9544141	1	107.136
LG02	1	9544141	1	107.866
LG02	1	9590140	1	107.866
LG02	1	9690641	1	106.406
LG02	1	9730397	1	106.406
LG02	1	9761192	1	105.676
LG02	1	9788600	1	105.676
LG02	1	9788600	1	105.676
LG02	1	9788600	1	105.676
LG02	1	9834219	1	104.946
LG02	1	10077421	1	103.486
LG02	1	10088902	1	104.216
LG02	1	10104352	1	102.756
LG02	1	10137861	1	102.756
LG02	1	10137861	1	102.756
LG02	1	10137861	1	102.756
LG02	1	10137861	1	102.756
LG02	1	10197980	1	102.756
LG02	1	10337206	1	102.026
LG02	1	10337206	1	102.026
LG02	1	10378646	1	101.296
LG02	1	10378646	1	101.296
LG02	1	10483400	1	99.107
LG02	1	10483400	1	99.837
LG02	1	10540598	1	100.566
LG02	1	10547977	1	99.837
LG02	1	10550853	1	99.837
LG02	1	10726203	1	99.837
LG02	1	10726203	1	99.837
LG02	1	10839538	1	99.107
LG02	1	11000229	1	99.107
LG02	1	11047811	1	98.377
LG02	1	11070269	1	98.377
LG02	1	11077361	1	96.917
LG02	1	11077361	1	98.377
LG02	1	11096482	1	97.647
LG02	1	11117576	1	97.647
LG02	1	11157528	1	97.647
LG02	1	11302003	1	94.694
LG02	1	11302006	1	94.694
LG02	1	11302006	1	94.694
LG02	1	11378636	1	93.964
LG02	1	11387476	1	93.964
LG02	1	11435771	1	93.964
LG02	1	11483344	1	93.964
LG02	1	11484296	1	93.964
LG02	1	11487819	1	93.964
LG02	1	11495912	1	93.964
LG02	1	11495912	1	93.964
LG02	1	11543932	1	93.964
LG02	1	11551928	1	93.964
LG02	1	11572348	1	93.964
LG02	1	11572348	1	93.964
LG02	1	11572348	1	94.694
LG02	1	11578564	1	93.964
LG02	1	11616340	1	93.964
LG02	1	11616340	1	93.964
LG02	1	11616340	1	93.964
LG02	1	11618078	1	93.964
LG02	1	11652042	1	92.494
LG02	1	11714204	1	91.034
LG02	1	11735034	1	91.034
LG02	1	11735034	1	91.034
LG02	1	11744806	1	91.034
LG02	1	11748028	1	91.034
LG02	1	11748028	1	91.764
LG02	1	11771186	1	90.304
LG02	1	11772430	1	90.304
LG02	1	12047921	1	86.543
LG02	1	12047921	1	86.543
LG02	1	12047924	1	86.543
LG02	1	12047924	1	86.543
LG02	1	12047924	1	86.543
LG02	1	12082052	1	86.543
LG02	1	12443726	1	84.32
LG02	1	12487345	1	83.59
LG02	1	12532582	1	83.59
LG02	1	12532582	1	83.59
LG02	1	12534328	1	83.59
LG02	1	12592554	1	83.59
LG02	1	12630719	1	83.59
LG02	1	12630719	1	83.59
LG02	1	12683910	1	82.86
LG02	1	12684482	1	82.86
LG02	1	12705991	1	83.59
LG02	1	12705991	1	83.59
LG02	1	12725169	1	82.86
LG02	1	12979675	1	82.13
LG02	1	13070310	1	82.13
LG02	1	13093175	1	82.13
LG02	1	13093175	1	82.13
LG02	1	13099167	1	82.13
LG02	1	13109644	1	82.13
LG02	1	13109644	1	82.13
LG02	1	13128255	1	82.13
LG02	1	13128549	1	82.13
LG02	1	13136022	1	82.13
LG02	1	13136022	1	82.13
LG02	1	13141846	1	82.13
LG02	1	13285223	1	82.13
LG02	1	13285223	1	82.13
LG02	1	13286415	1	82.13
LG02	1	13286415	1	82.13
LG02	1	13290896	1	82.13
LG02	1	13319327	1	82.13
LG02	1	13319327	1	82.13
LG02	1	13354694	1	82.13
LG02	1	13354694	1	82.13
LG02	1	13354694	1	82.13
LG02	1	13370335	1	81.4
LG02	1	13384487	1	81.4
LG02	1	13402254	1	81.4
LG02	1	13415438	1	81.4
LG02	1	13415438	1	81.4
LG02	1	13415438	1	81.4
LG02	1	13426378	1	80.67
LG02	1	13456141	1	79.94
LG02	1	13468976	1	79.94
LG02	1	13497099	1	80.67
LG02	1	13512829	1	79.94
LG02	1	13513994	1	79.94
LG02	1	13569350	1	79.94
LG02	1	13587658	1	79.94
LG02	1	13596321	1	79.94
LG02	1	13614284	1	79.94
LG02	1	13665301	1	79.94
LG02	1	13757647	1	78.47
LG02	1	13780266	1	78.47
LG02	1	13780266	1	78.47
LG02	1	13882345	1	78.47
LG02	1	13970229	1	77.74
LG02	1	14015247	1	77.74
LG02	1	14120493	1	77.74
LG02	1	14120493	1	77.74
LG02	1	14120493	1	77.74
LG02	1	14120493	1	77.74
LG02	1	14156622	1	77.74
LG02	1	14192852	1	77.74
LG02	1	14296169	1	76.28
LG02	1	14375081	1	77.74
LG02	1	14381665	1	77.74
LG02	1	14381665	1	77.74
LG02	1	14392237	1	77.01
LG02	1	14392237	1	77.01
LG02	1	14416357	1	77.01
LG02	1	14438749	1	77.01
LG02	1	14466091	1	77.01
LG02	1	14466091	1	77.01
LG02	1	14467413	1	77.01
LG02	1	14495336	1	77.01
LG02	1	14495336	1	77.01
LG02	1	14524396	1	77.01
LG02	1	14524396	1	77.01
LG02	1	14532641	1	77.01
LG02	1	14702145	1	77.01
LG02	1	14702145	1	77.01
LG02	1	14702145	1	77.01
LG02	1	15034825	1	76.28
LG02	1	15034825	1	76.28
LG02	1	15034825	1	76.28
LG02	1	15038043	1	75.55
LG02	1	15077769	1	75.55
LG02	1	15221804	1	74.079
LG02	1	15260952	1	74.079
LG02	1	15317715	1	74.079
LG02	1	15464019	1	73.349
LG02	1	15464019	1	73.349
LG02	1	15478178	1	73.349
LG02	1	15478181	1	73.349
LG02	1	15478181	1	73.349
LG02	1	15478793	1	73.349
LG02	1	15517875	1	73.349
LG02	1	15517875	1	73.349
LG02	1	15536611	1	73.349
LG02	1	15536611	1	73.349
LG02	1	15539823	1	73.349
LG02	1	15553823	1	73.349
LG02	1	15582006	1	73.349
LG02	1	15588531	1	73.349
LG02	1	15614742	1	73.349
LG02	1	15817699	1	73.349
LG02	1	15842622	1	73.349
LG02	1	15873966	1	72.619
LG02	1	15929047	1	73.349
LG02	1	15929437	1	73.349
LG02	1	15929437	1	73.349
LG02	1	15929437	1	73.349
LG02	1	15937330	1	73.349
LG02	1	15948395	1	73.349
LG02	1	15952746	1	73.349
LG02	1	15994611	1	73.349
LG02	1	16018409	1	73.349
LG02	1	16018409	1	73.349
LG02	1	16047748	1	73.349
LG02	1	16051273	1	73.349
LG02	1	16199849	1	72.619
LG02	1	16199849	1	72.619
LG02	1	16199849	1	73.349
LG02	1	16211874	1	72.619
LG02	1	16217084	1	72.619
LG02	1	16217471	1	73.349
LG02	1	16217471	1	73.349
LG02	1	16221410	1	71.889
LG02	1	16221410	1	71.889
LG02	1	16275874	1	72.619
LG02	1	16276771	1	72.619
LG02	1	16281100	1	74.079
LG02	1	16318955	1	72.619
LG02	1	16381700	1	72.619
LG02	1	16382134	1	71.889
LG02	1	16382137	1	72.619
LG02	1	16382137	1	72.619
LG02	1	16382137	1	72.619
LG02	1	16400901	1	73.349
LG02	1	16419962	1	72.619
LG02	1	16432311	1	71.889
LG02	1	16432311	1	71.889
LG02	1	16451021	1	71.159
LG02	1	16466559	1	71.159
LG02	1	16516177	1	70.429
LG02	1	16534840	1	71.159
LG02	1	16537905	1	71.159
LG02	1	16538463	1	70.429
LG02	1	16538552	1	71.159
LG02	1	16541557	1	70.429
LG02	1	16550966	1	70.429
LG02	1	16611858	1	70.429
LG02	1	16652346	1	70.429
LG02	1	16652346	1	70.429
LG02	1	16705179	1	69.7
LG02	1	16705179	1	69.7
LG02	1	16769184	1	69.7
LG02	1	16810132	1	69.7
LG02	1	16905956	1	69.7
LG02	1	16921923	1	69.7
LG02	1	16928721	1	68.97
LG02	1	16928721	1	68.97
LG02	1	16988482	1	67.51
LG02	1	16988482	1	68.24
LG02	1	16999085	1	68.24
LG02	1	17072258	1	68.24
LG02	1	17104372	1	67.51
LG02	1	17217114	1	64.524
LG02	1	17313653	1	64.524
LG02	1	17371899	1	64.524
LG02	1	17413122	1	64.524
LG02	1	17413122	1	64.524
LG02	1	17419681	1	64.524
LG02	1	17490421	1	64.524
LG02	1	17490421	1	64.524
LG02	1	17507458	1	64.524
LG02	1	17510503	1	64.524
LG02	1	17510503	1	64.524
LG02	1	17510503	1	64.524
LG02	1	17518387	1	64.524
LG02	1	17518387	1	64.524
LG02	1	17531026	1	64.524
LG02	1	17531026	1	64.524
LG02	1	17542936	1	64.524
LG02	1	17558709	1	64.524
LG02	1	17565098	1	64.524
LG02	1	17572841	1	64.524
LG02	1	17646231	1	63.794
LG02	1	17798328	1	62.334
LG02	1	17798328	1	63.064
LG02	1	17809363	1	62.334
LG02	1	17809980	1	62.334
LG02	1	17846831	1	63.064
LG02	1	17915157	1	62.334
LG02	1	17929996	1	62.334
LG02	1	17931227	1	62.334
LG02	1	18013456	1	62.334
LG02	1	18013456	1	62.334
LG02	1	18120860	1	62.334
LG02	1	18124929	1	62.334
LG02	1	18199626	1	62.334
LG02	1	18247816	1	61.604
LG02	1	18255430	1	61.604
LG02	1	18255430	1	61.604
LG02	1	18257682	1	61.604
LG02	1	18261417	1	61.604
LG02	1	18266734	1	61.604
LG02	1	18279959	1	61.604
LG02	1	18293018	1	61.604
LG02	1	18293443	1	61.604
LG02	1	18295930	1	61.604
LG02	1	18295930	1	61.604
LG02	1	18334151	1	61.604
LG02	1	18417902	1	61.604
LG02	1	18458172	1	61.604
LG02	1	18558220	1	60.133
LG02	1	18631132	1	58.673
LG02	1	18662095	1	59.403
LG02	1	18662095	1	59.403
LG02	1	18682858	1	57.943
LG02	1	18682858	1	57.943
LG02	1	18725509	1	58.673
LG02	1	18743175	1	58.673
LG02	1	18754547	1	58.673
LG02	1	18765903	1	58.673
LG02	1	18770498	1	58.673
LG02	1	18792110	1	58.673
LG02	1	18828924	1	58.673
LG02	1	18912053	1	57.943
LG02	1	18927173	1	58.673
LG02	1	18952672	1	57.943
LG02	1	18961192	1	57.214
LG02	1	19005854	1	57.214
LG02	1	19005854	1	57.214
LG02	1	19005854	1	57.214
LG02	1	19067723	1	56.484
LG02	1	19088233	1	57.214
LG02	1	19096754	1	56.484
LG02	1	19108895	1	56.484
LG02	1	19112871	1	56.484
LG02	1	19112871	1	56.484
LG02	1	19126571	1	55.754
LG02	1	19126571	1	55.754
LG02	1	19126571	1	55.754
LG02	1	19309646	1	55.754
LG02	1	19317827	1	55.754
LG02	1	19317827	1	55.754
LG02	1	19365337	1	55.754
LG02	1	19368189	1	55.754
LG02	1	19389460	1	55.754
LG02	1	19544369	1	54.294
LG02	1	19549728	1	55.024
LG02	1	19568550	1	55.024
LG02	1	19609207	1	55.024
LG02	1	19622018	1	55.024
LG02	1	19642757	1	54.294
LG02	1	19642757	1	54.294
LG02	1	19642757	1	54.294
LG02	1	19687565	1	54.294
LG02	1	19761673	1	54.294
LG02	1	19776637	1	54.294
LG02	1	19854670	1	54.294
LG02	1	19925629	1	54.294
LG02	1	19925629	1	54.294
LG02	1	19925629	1	54.294
LG02	1	19925629	1	54.294
LG02	1	19926174	1	54.294
LG02	1	20040329	1	54.294
LG02	1	20221487	1	52.823
LG02	1	20221487	1	52.823
LG02	1	20231588	1	52.823
LG02	1	20248294	1	52.823
LG02	1	20249123	1	52.823
LG02	1	20249123	1	52.823
LG02	1	20249123	1	52.823
LG02	1	20273725	1	52.823
LG02	1	20276775	1	52.823
LG02	1	20276775	1	52.823
LG02	1	20276775	1	52.823
LG02	1	20276775	1	52.823
LG02	1	20307017	1	52.823
LG02	1	20371643	1	52.823
LG02	1	20394040	1	52.823
LG02	1	20394040	1	52.823
LG02	1	20394040	1	52.823
LG02	1	20394350	1	52.823
LG02	1	20394350	1	52.823
LG02	1	20394350	1	52.823
LG02	1	20396232	1	52.823
LG02	1	20398250	1	52.823
LG02	1	20426637	1	50.633
LG02	1	20427154	1	52.823
LG02	1	20455521	1	52.823
LG02	1	20455521	1	52.823
LG02	1	20455521	1	52.823
LG02	1	20455521	1	52.823
LG02	1	20463761	1	52.823
LG02	1	20482951	1	51.363
LG02	1	20587244	1	52.093
LG02	1	20593164	1	52.093
LG02	1	20678082	1	52.093
LG02	1	20691691	1	52.093
LG02	1	20701949	1	52.093
LG02	1	20748258	1	52.093
LG02	1	20748758	1	52.093
LG02	1	20748758	1	52.093
LG02	1	20748758	1	52.093
LG02	1	20765822	1	52.093
LG02	1	20790390	1	52.823
LG02	1	20827065	1	52.823
LG02	1	20850848	1	52.093
LG02	1	20870430	1	52.093
LG02	1	20940861	1	52.093
LG02	1	20958853	1	52.093
LG02	1	21032520	1	52.093
LG02	1	21032520	1	52.093
LG02	1	21038720	1	52.093
LG02	1	21356814	1	52.093
LG02	1	21413270	1	51.363
LG02	1	21413270	1	51.363
LG02	1	21413270	1	51.363
LG02	1	21469977	1	50.633
LG02	1	21494332	1	50.633
LG02	1	21495922	1	50.633
LG02	1	21516534	1	50.633
LG02	1	21576880	1	50.633
LG02	1	21607604	1	49.173
LG02	1	21653508	1	49.173
LG02	1	21691947	1	49.173
LG02	1	21708405	1	49.173
LG02	1	21751525	1	49.173
LG02	1	21751525	1	49.173
LG02	1	21751525	1	49.173
LG02	1	21803650	1	49.173
LG02	1	21854765	1	48.443
LG02	1	21866002	1	49.903
LG02	1	21881271	1	49.173
LG02	1	21905620	1	49.173
LG02	1	21908809	1	49.173
LG02	1	21908809	1	49.173
LG02	1	21989798	1	49.173
LG02	1	21994708	1	49.173
LG02	1	21994708	1	49.173
LG02	1	22023266	1	49.173
LG02	1	22023266	1	49.173
LG02	1	22156252	1	49.173
LG02	1	22184462	1	49.173
LG02	1	22226265	1	49.173
LG02	1	22226265	1	49.173
LG02	1	22226265	1	49.173
LG02	1	22253023	1	49.173
LG02	1	22279912	1	49.173
LG02	1	22286364	1	46.973
LG02	1	22324864	1	49.173
LG02	1	22353630	1	49.173
LG02	1	22363815	1	49.173
LG02	1	22363815	1	49.173
LG02	1	22367120	1	49.173
LG02	1	22368908	1	49.173
LG02	1	22401877	1	48.443
LG02	1	22401877	1	48.443
LG02	1	22424748	1	48.443
LG02	1	22442661	1	48.443
LG02	1	22473175	1	48.443
LG02	1	22484311	1	48.443
LG02	1	22484311	1	48.443
LG02	1	22484311	1	48.443
LG02	1	22484311	1	48.443
LG02	1	22505604	1	48.443
LG02	1	22517904	1	48.443
LG02	1	22517904	1	48.443
LG02	1	22592853	1	46.243
LG02	1	22604924	1	46.243
LG02	1	22604924	1	46.243
LG02	1	22604924	1	46.243
LG02	1	22631582	1	46.243
LG02	1	22631582	1	46.243
LG02	1	22639895	1	46.973
LG02	1	22741357	1	42.527
LG02	1	22774339	1	43.257
LG02	1	22817442	1	42.527
LG02	1	22846833	1	42.527
LG02	1	22883577	1	42.527
LG02	1	22889409	1	42.527
LG02	1	22889409	1	42.527
LG02	1	22891051	1	42.527
LG02	1	22891051	1	42.527
LG02	1	22900278	1	42.527
LG02	1	22900278	1	42.527
LG02	1	22955560	1	40.304
LG02	1	23012881	1	40.304
LG02	1	23087581	1	38.834
LG02	1	23087581	1	38.834
LG02	1	23087581	1	38.834
LG02	1	23087581	1	38.834
LG02	1	23108212	1	38.104
LG02	1	23108212	1	38.104
LG02	1	23115684	1	38.104
LG02	1	23115684	1	38.104
LG02	1	23171495	1	37.374
LG02	1	23171495	1	37.374
LG02	1	23182024	1	37.374
LG02	1	23182024	1	37.374
LG02	1	23233173	1	36.644
LG02	1	23241147	1	36.644
LG02	1	23241498	1	36.644
LG02	1	23341705	1	35.914
LG02	1	23344411	1	35.914
LG02	1	23345642	1	35.914
LG02	1	23348484	1	35.914
LG02	1	23348484	1	35.914
LG02	1	23367362	1	35.914
LG02	1	23367362	1	35.914
LG02	1	23403020	1	35.914
LG02	1	23403020	1	35.914
LG02	1	23432235	1	35.914
LG02	1	23475167	1	35.914
LG02	1	23475167	1	35.914
LG02	1	23513451	1	35.184
LG02	1	23513451	1	35.184
LG02	1	23513451	1	35.184
LG02	1	23521282	1	35.184
LG02	1	23540336	1	35.184
LG02	1	23540336	1	35.184
LG02	1	23540336	1	35.184
LG02	1	23540336	1	35.184
LG02	1	23549015	1	35.184
LG02	1	23549015	1	35.184
LG02	1	23612228	1	35.184
LG02	1	23612231	1	34.454
LG02	1	23612231	1	35.184
LG02	1	23612231	1	35.184
LG02	1	23752717	1	34.454
LG02	1	23752717	1	34.454
LG02	1	23758146	1	35.184
LG02	1	23758146	1	35.184
LG02	1	23955504	1	30.693
LG02	1	23955504	1	30.693
LG02	1	23955504	1	30.693
LG02	1	23955504	1	30.693
LG02	1	24017196	1	30.693
LG02	1	24300980	1	20.04
LG02	1	24360437	1	20.04
LG02	1	24360437	1	20.04
LG02	1	24418794	1	20.04
LG02	1	24701196	1	14.864
LG02	1	24740051	1	15.594
LG02	1	24779167	1	14.864
LG02	1	24796454	1	16.324
LG02	1	24796454	1	16.324
LG02	1	25266316	1	13.404
LG02	1	25295432	1	13.404
LG02	1	25372989	1	11.934
LG02	1	25372989	1	11.934
LG02	1	25391403	1	11.934
LG02	1	25391403	1	11.934
LG02	1	25745812	1	8.948
LG02	1	26142987	1	5.187
LG02	1	26142987	1	5.187
LG02	1	26142987	1	5.187
LG02	1	26200781	1	5.187
LG02	1	26464508	1	0
LG13	2	17540	2	165.279
LG13	2	35983	2	165.279
LG13	2	53711	2	165.279
LG13	2	275999	2	165.279
LG13	2	316309	2	164.549
LG13	2	325263	2	164.549
LG13	2	330425	2	164.549
LG13	2	372633	2	148.303
LG01	2	396153	9	151.364
LG13	2	442682	2	163.819
LG13	2	456180	2	163.819
LG13	2	527141	2	163.819
LG13	2	527141	2	163.819
LG13	2	552576	2	163.089
LG13	2	608573	2	162.359
LG13	2	608573	2	162.359
LG13	2	678143	2	161.629
LG13	2	678143	2	161.629
LG13	2	678809	2	160.158
LG13	2	678809	2	160.158
LG13	2	755216	2	158.688
LG13	2	780575	2	158.688
LG13	2	794730	2	158.688
LG13	2	826724	2	157.958
LG13	2	826724	2	157.958
LG13	2	826724	2	157.958
LG13	2	832500	2	157.958
LG13	2	832500	2	157.958
LG13	2	979933	2	154.197
LG13	2	1044247	2	152.726
LG13	2	1060288	2	151.996
LG13	2	1060288	2	152.726
LG13	2	1384308	2	147.573
LG13	2	1384308	2	149.773
LG13	2	1408315	2	146.843
LG13	2	1408318	2	146.843
LG13	2	1408318	2	146.843
LG13	2	1474820	2	146.113
LG13	2	1498779	2	145.383
LG13	2	1676760	2	144.653
LG13	2	1676760	2	144.653
LG13	2	1695988	2	144.653
LG13	2	1695988	2	144.653
LG13	2	1728065	2	143.923
LG13	2	1734170	2	143.923
LG13	2	1734170	2	143.923
LG13	2	1804039	2	142.452
LG13	2	1874888	2	135.464
LG13	2	1874888	2	135.464
LG13	2	1906902	2	131.703
LG13	2	1965297	2	130.973
LG13	2	2031081	2	123.145
LG13	2	2035936	2	123.145
LG13	2	2035936	2	123.145
LG13	2	2109853	2	122.415
LG13	2	2109853	2	122.415
LG13	2	2109853	2	122.415
LG13	2	2109853	2	122.415
LG13	2	2181969	2	120.192
LG13	2	2240122	2	120.192
LG13	2	2266651	2	119.462
LG13	2	2266651	2	119.462
LG13	2	2266651	2	119.462
LG13	2	2388426	2	117.262
LG13	2	2446670	2	117.262
LG13	2	2446670	2	117.262
LG13	2	2446670	2	117.262
LG13	2	2450555	2	117.262
LG13	2	2480884	2	117.262
LG13	2	2480884	2	117.262
LG13	2	2480884	2	117.262
LG13	2	2573103	2	117.262
LG13	2	2609968	2	116.532
LG13	2	2624470	2	116.532
LG13	2	2717950	2	116.532
LG13	2	2721873	2	116.532
LG13	2	2975545	2	116.532
LG13	2	3038693	2	116.532
LG13	2	3040001	2	116.532
LG13	2	3136174	2	116.532
LG13	2	3344258	2	116.532
LG13	2	3575701	2	116.532
LG13	2	3664478	2	116.532
LG13	2	3682012	2	116.532
LG13	2	3685692	2	116.532
LG13	2	3685692	2	116.532
