set map mb cm regFn regDr
F1 1 2.017807 35.344 35.142752366135 15.67
F1 1 2.224208 41.092 38.4348507580989 14.37
F1 1 2.267598 41.092 39.0824713262582 14.08
F1 1 2.389723 43.369 40.7859241194617 13.2
F1 1 2.396317 43.369 40.8729586367108 13.15
F1 1 2.410361 43.824 41.0612361692812 13.05
F1 1 2.435859 44.737 41.4120493816491 12.85
F1 1 2.441381 45.192 41.4893596498235 12.81
F1 1 2.513147 45.192 42.5233695443792 12.25
F1 1 2.764673 47.49 45.9193952411799 10.16
F1 1 2.778091 47.035 46.0611861276022 10.04
F1 1 2.807172 47.49 46.3458748687216 9.8
F1 1 2.997031 48.403 48.0364258020492 8.11
F1 1 2.998919 48.403 48.0524265312296 8.09
F1 1 3.015589 48.403 48.1928303466154 7.94
F1 1 3.06955 49.312 48.6357771786452 7.45
F1 1 3.088245 48.857 48.7847833916237 7.28
F1 1 3.106092 48.857 48.9247261136562 7.11
F1 1 3.118201 48.857 49.0183443308824 7
F1 1 3.135541 49.312 49.1492528131912 6.85
F1 1 3.40855 48.857 50.6326898832305 4.5
F1 1 3.409483 49.312 50.6360441711254 4.49
F1 1 3.486787 48.857 50.877575890351 3.84
F1 1 3.546964 48.857 51.0180830544132 3.31
F1 1 3.573163 49.312 51.0669915211282 3.09
F1 1 3.76123 49.312 51.2215708318031 1.61
F1 1 5.321983 48.857 48.7751111839591 0.48
F1 1 5.396414 48.857 48.9041432315161 0.77
F1 1 5.526611 49.312 49.143864952106 1.34
F1 1 5.659122 48.857 49.4087110266131 1.94
F1 1 5.688349 48.857 49.470259318348 2.08
F1 1 5.798 48.857 49.7121616103541 2.55
F1 1 6.092776 48.857 50.4597561581228 3.48
F1 1 6.214077 50.225 50.81434745326 3.8
F1 1 6.374938 51.138 51.4912961420402 4.11
F1 1 6.387445 51.593 51.5571637646252 4.13
F1 1 6.408842 52.048 51.6733692307619 4.15
F1 1 6.462587 52.502 51.9825674426903 4.2
F1 1 6.521552 52.957 52.3445550424862 4.25
F1 1 6.56266 52.957 52.6069351102415 4.28
F1 1 7.007553 52.957 55.2150983625299 4.49
F1 1 7.016865 52.957 55.2516862389088 4.49
F1 1 7.019306 52.957 55.2611685626054 4.5
F1 1 7.108682 53.411 55.6716438881083 4.54
F1 1 7.132604 53.866 55.79749245366 4.56
F1 1 7.345982 54.775 56.9592390965771 4.44
F1 1 7.373792 55.229 57.087962342986 4.38
F1 1 7.401449 55.684 57.2043209888645 4.32
F1 1 7.432792 55.684 57.3196187762023 4.24
F1 1 7.491612 55.684 57.5241358734299 4.08
F1 1 7.496422 55.684 57.5413449879668 4.07
F1 1 7.51282 55.684 57.6004520854297 4.02
F1 1 7.514313 56.139 57.6058649015721 4.02
F1 1 7.767982 57.506 58.5304493455827 3.17
F1 1 7.804559 57.506 58.6520959082372 3.05
F1 1 7.89828 58.883 58.9314756015805 2.74
F1 1 7.961469 59.337 59.0858746445864 2.55
F1 1 7.966674 59.337 59.0976023174922 2.54
F1 1 7.969591 59.337 59.1044700532593 2.53
F1 1 7.990821 59.337 59.1604000216905 2.47
F1 1 8.03859 60.25 59.3175025314913 2.33
F1 1 8.056325 60.25 59.3838804055535 2.27
F1 1 8.198804 61.164 59.9356169034672 1.69
F1 1 8.280569 62.073 60.1365027038481 1.3
F1 1 8.324168 62.073 60.1927351620878 1.1
F1 1 8.325957 62.073 60.194837866539 1.09
F1 1 8.406415 62.527 60.2733260704185 0.73
F1 1 8.48551 62.982 60.321296264276 0.41
F1 1 8.642283 63.436 60.3393185350461 0
F1 1 8.663124 62.982 60.3346882498471 0
F1 1 8.885915 62.527 60.1978950675767 0
F1 1 8.953267 62.073 60.1295117153624 0
F1 1 8.97917 61.618 60.0970008087605 0
F1 1 9.254775 59.337 59.3279162615895 0
F1 1 9.272678 59.337 59.257401073899 0
F1 1 9.519958 57.506 58.157965318245 0
F1 1 9.537372 57.506 58.0765356232807 0
F1 1 9.601006 57.052 57.7807534438546 0
F1 1 9.812339 55.684 56.8812561212801 0
F1 1 9.875861 55.229 56.5376154528278 0
F1 1 9.875889 55.229 56.5374224305268 0
F1 1 9.885252 54.775 56.4711198319063 0
F1 1 10.056425 54.32 54.8987782937285 0
F1 1 10.061047 54.32 54.8537915617669 0
F1 1 10.186778 52.957 53.8069650444251 0
F1 1 10.234038 53.411 53.5687306784757 0
F1 1 10.241134 52.957 53.5434890404574 0
F1 1 10.4351 52.957 52.6067928802547 0
F1 1 10.716088 52.957 50.9290545559431 0
F1 1 10.746829 52.957 50.7759800059273 0
F1 1 10.809585 52.502 50.5064097295189 0
F1 1 10.877848 51.138 50.294585630576 0
F1 1 10.975895 50.225 50.1799957507217 0.14
F1 1 11.015329 50.225 50.2092810625776 0.58
F1 1 11.070205 49.312 50.2981800250928 1.22
F1 1 11.241336 49.312 50.7573705104072 3.07
F1 1 11.288211 48.857 50.9287337009271 3.52
F1 1 11.298538 49.312 50.9690012022529 3.62
F1 1 11.303073 49.312 50.9869674638387 3.67
F1 1 11.379171 49.312 51.3137266823772 4.45
F1 1 11.522568 49.312 52.052850923297 5.99
F1 1 11.677477 49.312 53.017008361405 7.63
F1 1 11.928969 49.312 55.3909660781344 9.79
F1 1 12.660688 67.137 66.1514553735127 12.92
F1 1 12.685829 67.591 66.5180066793001 12.97
F1 1 12.745543 68.505 67.3651219095844 13.08
F1 1 12.773336 68.505 67.7466170862959 13.11
F1 1 12.774806 68.505 67.7665477120108 13.11
F1 1 12.839287 68.505 68.6141914424845 13.13
F1 1 12.84078 68.959 68.6331985773833 13.13
F1 1 12.867787 68.959 68.9822293054781 13.12
F1 1 12.883602 68.959 69.1899307495663 13.12
F1 1 12.899863 68.959 69.4047366606127 13.11
F1 1 12.928737 69.414 69.7859123901853 13.08
F1 1 12.933254 68.959 69.8451973573829 13.08
F1 1 12.967846 70.79 70.2922199972726 13.04
F1 1 12.967849 71.245 70.2922580571799 13.04
F1 1 13.111491 71.699 72.1723005606955 12.78
F1 1 13.111877 72.154 72.1774297248692 12.78
F1 1 13.133226 72.154 72.4610061725886 12.72
F1 1 13.1718 72.608 72.9714722661538 12.62
F1 1 13.178119 72.154 73.0546759639698 12.6
F1 1 13.20553 73.517 73.4135843969272 12.52
F1 1 13.298964 74.431 74.5982535233228 12.18
F1 1 13.299146 74.431 74.6004825750431 12.18
F1 1 13.302906 74.431 74.6464807785263 12.17
F1 1 13.325762 75.344 74.9239900589424 12.07
F1 1 13.342645 75.344 75.126758819615 12
F1 1 13.35735 75.344 75.301918844726 11.93
F1 1 13.500366 76.712 76.9483516059764 11.29
F1 1 13.541429 78.088 77.4070196876373 11.1
F1 1 13.546987 78.088 77.468786030202 11.07
F1 1 13.68503 79.456 79.0150956468201 10.38
F1 1 13.749165 78.542 79.7210405035237 10.06
F1 1 13.749168 78.542 79.721073023135 10.06
F1 1 13.776054 79.456 80.0100921522527 9.92
F1 1 13.79978 79.456 80.2606245490973 9.81
F1 1 13.830107 79.456 80.5736123070227 9.67
F1 1 13.862073 80.369 80.8933169202411 9.53
F1 1 13.862503 80.369 80.8975403906253 9.52
F1 1 13.873474 80.369 81.0054523427103 9.47
F1 1 13.956879 81.745 81.8311367476206 9.09
F1 1 14.062181 82.2 82.8634792777934 8.63
F1 1 14.205502 84.991 84.1803219208666 8.06
F1 1 14.24651 85.446 84.525421633159 7.9
F1 1 14.253663 85.446 84.5837823986902 7.87
F1 1 14.278688 85.446 84.7833215629023 7.78
F1 1 14.282765 84.991 84.8150433709351 7.77
F1 1 14.332873 86.355 85.1804325923876 7.6
F1 1 14.364639 85.9 85.3959549695924 7.49
F1 1 14.374643 86.355 85.4624998341188 7.46
F1 1 14.410081 85.9 85.6971862107708 7.36
F1 1 14.452662 86.355 85.98662792536 7.24
F1 1 14.454854 86.355 86.0020064334566 7.24
F1 1 14.457389 86.355 86.0197728618375 7.23
F1 1 14.457747 86.355 86.0222732484514 7.23
F1 1 14.482127 86.355 86.1876377343144 7.17
F1 1 14.72014 86.809 87.4107898213421 6.52
F1 1 14.728657 87.264 87.445479241054 6.5
F1 1 14.886394 87.719 88.0504682444558 6.1
F1 1 15.082443 88.173 88.8832862731429 5.6
F1 1 15.087845 88.628 88.9103027313948 5.58
F1 1 15.10779 88.628 89.0114551074717 5.53
F1 1 15.11275 88.628 89.0368565607312 5.51
F1 1 15.132828 88.628 89.1405668530906 5.46
F1 1 15.243454 89.082 89.7272721861512 5.19
F1 1 15.24454 89.082 89.7330769370998 5.19
F1 1 15.266272 89.991 89.8490768330662 5.15
F1 1 15.334175 89.537 90.2067021865793 5.03
F1 1 15.34476 89.991 90.2623615390465 5.01
F1 1 15.387481 90.905 90.5015177965254 4.95
F1 1 15.39129 90.905 90.5237987337369 4.95
F1 1 15.452342 90.905 90.8950911523249 4.85
F1 1 15.550381 91.359 91.5039734079117 4.72
F1 1 15.573364 91.359 91.640368232151 4.69
F1 1 15.582378 91.359 91.6925680029542 4.68
F1 1 15.613988 92.272 91.8684692076773 4.65
F1 1 15.632393 93.181 91.9676592642069 4.64
F1 1 15.690841 92.727 92.2864752432826 4.6
F1 1 15.720801 93.181 92.4508023497327 4.58
F1 1 15.759133 93.181 92.6603604186633 4.56
F1 1 15.857292 93.636 93.1828281914951 4.48
F1 1 15.863921 93.636 93.2169038478493 4.48
F1 1 15.908093 93.636 93.4384676288438 4.44
F1 1 15.910944 93.636 93.4524275715516 4.44
F1 1 15.965253 93.636 93.7167395728156 4.39
F1 1 15.965256 93.636 93.7167540328337 4.39
F1 1 15.97328 93.636 93.755350191709 4.38
F1 1 15.984443 93.636 93.8087559957719 4.37
F1 1 15.991925 93.636 93.8443405643164 4.36
F1 1 16.00392 93.636 93.900993368834 4.35
F1 1 16.028587 93.636 94.0157255843335 4.33
F1 1 16.040219 94.091 94.0685047550029 4.31
F1 1 16.057297 94.091 94.1436424983807 4.3
F1 1 16.076999 94.091 94.2273012089614 4.27
F1 1 16.080263 93.636 94.2408867405461 4.27
F1 1 16.131033 94.091 94.4447824016645 4.21
F1 1 16.224513 95.004 94.8093863142173 4.07
F1 1 16.231935 95.004 94.8391990613354 4.06
F1 1 16.297894 95.004 95.1035185699102 3.97
F1 1 16.342218 95.458 95.2780524161061 3.91
F1 1 16.357652 95.458 95.3380217635213 3.89
F1 1 16.363848 95.458 95.3619626343832 3.88
F1 1 16.471767 95.004 95.7635890132464 3.73
F1 1 16.473003 95.458 95.7679906861283 3.73
F1 1 16.503664 95.458 95.8754826213361 3.69
F1 1 16.511514 95.458 95.9024551518341 3.68
F1 1 16.519991 95.458 95.9314072799987 3.67
F1 1 16.539846 95.913 95.9988253554543 3.64
F1 1 16.61416 96.367 96.2458474220015 3.58
F1 1 16.63707 97.277 96.3201615433212 3.57
F1 1 16.639719 96.822 96.3286944523091 3.57
F1 1 16.657952 96.822 96.387080683004 3.55
F1 1 16.678322 96.822 96.4515779126221 3.54
F1 1 16.684624 96.822 96.4713710392153 3.53
F1 1 16.878745 97.277 96.9523800293449 3.46
F1 1 16.881566 97.277 96.9582942104692 3.45
F1 1 16.939748 97.277 97.0800497910793 3.42
F1 1 16.962691 97.277 97.1290931314503 3.4
F1 1 16.99008 97.277 97.1895029689465 3.38
F1 1 17.018178 97.277 97.2544813831944 3.36
F1 1 17.021757 97.277 97.2630257388047 3.36
F1 1 17.076549 97.731 97.4034169477447 3.33
F1 1 17.086425 97.277 97.4302467146173 3.33
F1 1 17.210244 97.277 97.7322242589224 3.23
F1 1 17.26543 97.277 97.8642944802247 3.2
F1 1 17.286459 97.731 97.9173054993654 3.19
F1 1 17.291377 97.731 97.9300167200384 3.19
F1 1 17.302631 97.731 97.9596168694752 3.18
F1 1 17.357037 97.731 98.1152112263902 3.14
F1 1 17.384381 97.731 98.20047380764 3.12
F1 1 17.384384 97.731 98.2004832618182 3.12
F1 1 17.418254 98.186 98.3085934361595 3.1
F1 1 17.42622 98.186 98.3344144977752 3.1
F1 1 17.455312 98.64 98.4299647048358 3.09
F1 1 17.512703 99.095 98.6240718449655 3.1
F1 1 17.535129 99.095 98.7018825557451 3.11
F1 1 17.548331 99.095 98.7481906915085 3.12
F1 1 17.569198 99.095 98.8281317276488 3.13
F1 1 17.586102 99.095 98.9001775860595 3.14
F1 1 17.594273 99.095 98.9364905406231 3.14
F1 1 17.594774 99.095 98.9387385511851 3.14
F1 1 17.618583 99.095 99.0467362360703 3.16
F1 1 17.646206 99.095 99.16822703613 3.18
F1 1 17.664952 99.095 99.2428327207816 3.2
F1 1 17.772904 99.549 99.7196559523978 3.36
F1 1 17.780649 99.549 99.756857880739 3.38
F1 1 17.78733 99.095 99.7889645685999 3.39
F1 1 17.815361 100.458 99.9227561237423 3.46
F1 1 17.830692 100.004 99.9944407826493 3.5
F1 1 17.846436 100.004 100.066208977935 3.54
F1 1 17.882731 100.004 100.221220453632 3.62
F1 1 17.902622 100.004 100.297908765108 3.67
F1 1 17.902625 100.004 100.297919803054 3.67
F1 1 17.933422 100.458 100.40852780353 3.73
F1 1 17.966863 100.458 100.523774558025 3.8
F1 1 17.972534 100.458 100.542959122918 3.82
F1 1 18.046666 100.913 100.790307670314 3.99
F1 1 18.050392 100.913 100.802793757039 4
F1 1 18.060556 100.913 100.836994301038 4.02
F1 1 18.083431 100.913 100.908328347456 4.07
F1 1 18.09964 100.913 100.952744707255 4.11
F1 1 18.112368 101.367 100.984837076423 4.14
F1 1 18.135566 101.367 101.038799121436 4.19
F1 1 18.147774 101.367 101.065696695502 4.21
F1 1 18.150973 101.367 101.072651566217 4.22
F1 1 18.151421 101.367 101.073623513274 4.22
F1 1 18.262489 101.822 101.357111095213 4.42
F1 1 18.263454 101.822 101.360419975856 4.42
F1 1 18.284341 101.367 101.427543095221 4.46
F1 1 18.304796 101.822 101.486197655315 4.49
F1 1 18.459041 101.822 101.887036662475 4.72
F1 1 18.459044 101.822 101.887046571446 4.72
F1 1 18.471863 101.822 101.931097560863 4.73
F1 1 18.509185 101.822 102.082097573802 4.78
F1 1 18.535563 101.822 102.201500420904 4.81
F1 1 18.558341 101.822 102.303776104432 4.84
F1 1 18.642038 101.822 102.690072773694 4.9
F1 1 18.662041 101.822 102.788626649234 4.91
F1 1 18.699989 102.277 102.986701822708 4.94
F1 1 18.703369 102.277 103.005173530904 4.94
F1 1 18.708387 102.731 103.032875313173 4.94
F1 1 18.730257 102.731 103.157750234491 4.95
F1 1 18.74884 103.64 103.271758346357 4.96
F1 1 18.778754 103.186 103.471841293405 4.96
F1 1 18.786882 103.186 103.528753159467 4.96
F1 1 18.789478 102.731 103.547096065126 4.96
F1 1 18.814606 103.186 103.727394995948 4.95
F1 1 18.869716 104.553 104.119718458947 4.94
F1 1 18.907485 105.008 104.362906662347 4.93
F1 1 18.9209 105.008 104.44451052888 4.93
F1 1 19.005692 105.008 105.015027599119 4.95
F1 1 19.005695 105.917 105.015048898643 4.95
F1 1 19.011788 105.463 105.058395582419 4.95
F1 1 19.014674 105.463 105.078982847181 4.95
F1 1 19.034129 105.917 105.218424240484 4.95
F1 1 19.139936 106.372 105.958982970549 5.04
F1 1 19.189159 105.917 106.263538341584 5.1
F1 1 19.243404 107.285 106.579807590821 5.16
F1 1 19.291831 107.74 106.86744907973 5.19
F1 1 19.292508 107.74 106.871497342118 5.19
F1 1 19.495316 109.57 108.092741568792 5.39
F1 1 19.49631 109.57 108.098668811334 5.39
F1 1 19.532686 109.57 108.314399548904 5.4
F1 1 19.744597 109.57 109.493788023037 5.45
F1 1 19.832303 109.57 109.893910148954 5.4
F1 1 19.838496 109.57 109.919124495346 5.4
F1 1 19.842241 109.57 109.934224455291 5.4
F1 1 19.914351 109.116 110.209088553819 5.37
F1 1 20.020712 110.025 110.60405969803 5.32
F1 1 20.031198 110.479 110.645315648893 5.31
F1 1 20.092315 110.934 110.904106211391 5.27
F1 1 20.113712 110.934 111.004225857335 5.26
F1 1 20.13376 110.934 111.100265034297 5.26
F1 1 20.269173 111.388 111.729876205411 5.26
F1 1 20.269176 110.934 111.729889961402 5.26
F1 1 20.336788 111.843 112.040324039549 5.26
F1 1 20.365111 111.843 112.171334899455 5.27
F1 1 20.573595 113.219 113.195059217696 5.35
F1 1 20.582066 113.674 113.240116924697 5.35
F1 1 20.606326 113.674 113.370696987402 5.37
F1 1 20.631428 114.583 113.50785859918 5.38
F1 1 20.677196 114.128 113.762720435994 5.4
F1 1 20.714944 114.583 113.976914340592 5.43
F1 1 20.84892 115.037 114.756745105573 5.59
F1 1 20.87134 115.037 114.888937633833 5.63
F1 1 20.879349 115.037 114.936201616035 5.65
F1 1 20.953439 115.037 115.373257009102 5.76
F1 1 20.955463 115.037 115.385160732966 5.76
F1 1 20.991547 114.583 115.5952170137 5.84
F1 1 21.092237 116.405 116.17912478765 6.07
F1 1 21.109058 116.405 116.279435883576 6.11
F1 1 21.110463 116.405 116.287881302235 6.11
F1 1 21.11572 116.405 116.319580685361 6.13
F1 1 21.119136 116.405 116.340266322988 6.13
F1 1 21.127869 116.405 116.393140488104 6.16
F1 1 21.131711 116.405 116.416343235568 6.16
F1 1 21.133542 116.405 116.427389468283 6.17
F1 1 21.148942 116.405 116.52003754655 6.21
F1 1 21.204401 116.405 116.851800927129 6.37
F1 1 21.263731 117.319 117.209491711456 6.56
F1 1 21.274066 117.319 117.272705869385 6.59
F1 1 21.327066 117.773 117.603908642211 6.79
F1 1 21.395651 117.773 118.05019719209 7.06
F1 1 21.398667 117.773 118.070170475912 7.07
F1 1 21.418035 117.773 118.199022575833 7.14
F1 1 21.49236 118.686 118.701074805696 7.43
F1 1 21.498213 118.686 118.740991552164 7.46
F1 1 21.523741 118.686 118.915503623752 7.57
F1 1 21.545125 119.141 119.062058213782 7.67
F1 1 21.600237 119.141 119.432924879031 7.92
F1 1 21.600386 119.595 119.433912551799 7.92
F1 1 21.644956 120.963 119.727609644202 8.12
F1 1 21.660822 120.963 119.831872192606 8.19
F1 1 21.719638 120.963 120.222029228111 8.44
F1 1 21.814567 120.963 120.887352005239 8.75
F1 1 21.828322 120.963 120.989778242077 8.78
F1 1 21.850563 120.963 121.159614588887 8.84
F1 1 21.863448 120.963 121.256686037661 8.87
F1 1 21.870307 120.509 121.306256424075 8.88
F1 1 21.883501 121.418 121.398433529876 8.91
F1 1 21.89895 121.418 121.502732177424 8.94
F1 1 21.937447 121.872 121.760498138746 9.03
F1 1 21.984042 122.786 122.111053594181 9.13
F1 1 21.991282 122.786 122.173164288786 9.14
F1 1 22.019711 122.786 122.418820151315 9.2
F1 1 22.024601 122.786 122.460626453813 9.21
F1 1 22.025791 122.786 122.470791650653 9.21
F1 1 22.061788 123.24 122.779275487307 9.28
F1 1 22.064085 123.24 122.799183578475 9.29
F1 1 22.067777 123.24 122.831280633769 9.3
F1 1 22.109416 122.786 123.205784430509 9.37
F1 1 22.129449 123.24 123.397831462327 9.41
F1 1 22.141646 123.24 123.519212462846 9.43
F1 1 22.145775 123.24 123.560907340437 9.44
F1 1 22.162005 123.24 123.727379604131 9.47
F1 1 22.169835 123.24 123.8089757187 9.48
F1 1 22.178628 123.24 123.901432699285 9.49
F1 1 22.224386 123.695 124.391150397647 9.56
F1 1 22.241601 123.695 124.576360623568 9.58
F1 1 22.305338 123.695 125.316862866326 9.66
F1 1 22.305701 124.149 125.321312617855 9.66
F1 1 22.310426 124.149 125.379373448708 9.66
F1 1 22.360818 125.526 126.005549442152 9.7
F1 1 22.360821 125.526 126.005586597667 9.7
F1 1 22.373482 126.902 126.161656508399 9.71
F1 1 22.396988 127.356 126.445643114093 9.73
F1 1 22.409282 127.811 126.589902739938 9.74
F1 1 22.493645 128.265 127.660433639587 9.8
F1 1 22.685093 131.057 130.399104436693 9.98
F1 1 22.698008 131.511 130.579431348367 9.99
F1 1 22.727229 131.966 130.977865716528 10
F1 1 22.777416 131.966 131.621612034159 10.02
F1 1 22.787158 131.966 131.739271803768 10.02
F1 1 22.829505 131.966 132.217252808146 10.02
F1 1 22.835942 131.966 132.285301999952 10.02
F1 1 22.856666 131.966 132.503050361224 10.02
F1 1 22.895107 132.879 132.901823893443 10.04
F1 1 22.896417 133.334 132.915301720209 10.04
F1 1 22.975781 135.165 133.719499254301 10.11
F1 1 22.978789 135.165 133.749540100215 10.12
F1 1 23.038012 136.078 134.335420163713 10.15
F1 1 23.141816 136.078 135.341856079321 10.2
F1 1 23.203197 136.078 135.909153082862 10.19
F1 1 23.213434 136.078 135.999940564722 10.19
F1 1 23.281464 138.813 136.581993216766 10.16
F1 1 23.36142 136.532 137.235179987589 10.1
F1 1 23.401776 136.078 137.560180277071 10.07
F1 1 23.537445 136.532 138.683220053461 9.95
F1 1 23.587772 136.987 139.130287607298 9.88
F1 1 23.632804 137.9 139.524782503725 9.82
F1 1 23.673497 137.9 139.857524874062 9.78
F1 1 23.707546 138.813 140.123528217551 9.75
F1 1 23.707549 138.813 140.123551279385 9.75
F1 1 23.842342 142.514 141.142397334182 9.77
F1 1 23.895336 142.059 141.563550667352 9.83
F1 1 23.92741 143.427 141.833754724757 9.88
F1 1 23.99687 143.882 142.476025101473 9.98
F1 1 24.060451 143.427 143.108325866089 10.1
F1 1 24.101384 143.882 143.517610322734 10.18
F1 1 24.443979 147.089 147.106396205805 11.17
F1 1 24.446166 147.089 147.130713790542 11.18
F1 1 24.511218 147.543 147.865110724318 11.4
F1 1 24.5277 147.998 148.0547669544 11.46
F1 1 24.5937 148.452 148.83004327282 11.67
F1 1 24.607974 148.452 149.000843485787 11.72
F1 1 24.622369 148.452 149.173635627057 11.77
F1 1 24.633261 148.452 149.30474912332 11.81
F1 1 24.77919 148.452 151.094625538835 11.24
F1 1 24.894185 150.279 152.553863942271 10.8
F1 1 25.005997 153.984 154.019959960351 10.29
F1 1 25.035168 154.438 154.410787450274 10.15
F1 1 25.048617 154.893 154.592192364536 10.08
F1 1 25.117569 156.269 155.533733904217 9.74
F1 1 25.117898 156.269 155.538271697746 9.73
F1 1 25.322019 159.956 158.434823492808 8.68
F1 1 25.53118 162.271 161.565568834426 7.53
F1 1 25.585789 162.726 162.409038828884 7.21
F1 1 25.59849 162.726 162.606725192646 7.13
F1 1 25.663084 162.726 163.620833693175 6.74
F1 2 0.037051 0 0.704164462909429 2.91
F1 2 0.14965 1.827 1.56728788774086 3.27
F1 2 0.215268 1.827 2.05043312317211 3.48
F1 2 0.225486 1.827 2.12391127414948 3.51
F1 2 0.229725 1.827 2.15430779953901 3.52
F1 2 0.372573 3.203 3.15405568042851 3.99
F1 2 0.380546 4.579 3.20860443609518 4.02
F1 2 0.435837 4.579 3.58034120504102 4.21
F1 2 0.464313 4.579 3.77037151209478 4.31
F1 2 0.696728 4.579 5.23186004213623 5.07
F1 2 0.735322 4.579 5.46980618972179 5.19
F1 2 0.756747 5.034 5.60308240398511 5.25
F1 2 0.767827 5.034 5.67051007868726 5.28
F1 2 0.853959 8.7 6.1297997666104 5.5
F1 2 0.900447 5.488 6.39159802564648 5.59
F1 2 1.131238 7.786 7.84555243253922 6.02
F1 2 1.239322 7.786 8.53603879752503 5.77
F1 2 1.256564 7.786 8.64602424044948 5.73
F1 2 1.323871 9.609 9.08586381691611 5.58
F1 2 1.437438 10.522 9.85943731665264 5.33
F1 2 1.456906 10.522 9.99361104775294 5.28
F1 2 1.660823 11.435 11.3556140227981 4.78
F1 2 1.824087 11.89 12.2818666241017 4.39
F1 2 1.845233 12.344 12.3819227432446 4.37
F1 2 1.880467 12.344 12.5328442650175 4.34
F1 2 1.956653 13.258 12.8381827953231 4.31
F1 2 2.258225 13.712 13.8193457692806 4.85
F1 2 2.277601 13.712 13.8689262368449 4.9
F1 2 2.423314 14.626 14.2203286903601 5
F1 2 2.523179 14.626 14.3824183465424 4.97
F1 2 2.586393 14.626 14.4521324646032 4.9
F1 2 2.596313 14.626 14.4638833951325 4.87
F1 2 2.635211 14.626 14.5173807824213 4.78
F1 2 2.669087 14.626 14.5786809146461 4.71
F1 2 2.673232 14.626 14.5868168578775 4.71
F1 2 2.706037 14.626 14.6251679888204 4.65
F1 2 2.816876 14.626 14.7381834972858 4.6
F1 2 2.833204 14.626 14.7834326839716 4.61
F1 2 2.835964 15.08 14.7907335548093 4.62
F1 2 2.856232 15.08 14.8546738464044 4.65
F1 2 2.873796 15.08 14.9274462362043 4.7
F1 2 2.940845 15.08 15.2698810711066 4.97
F1 2 2.969276 15.08 15.4461527465961 5.11
F1 2 3.009165 15.535 15.7248236591023 5.32
F1 2 3.023233 15.989 15.831868622675 5.4
F1 2 3.023236 15.535 15.8318919386682 5.4
F1 2 3.069302 16.444 16.2609722894555 5.66
F1 2 3.209776 17.357 17.8456266301425 6.52
F1 2 3.219465 18.725 17.9414103068714 6.57
F1 2 3.252072 18.725 18.2968099659953 6.71
F1 2 3.314074 18.27 18.9419940417611 6.98
F1 2 3.314077 19.179 18.9420193646376 6.98
F1 2 3.32587 18.725 19.0397351769135 7.03
F1 2 3.37931 19.634 19.449702847535 7.25
F1 2 3.386012 19.179 19.4980448193064 7.27
F1 2 3.398096 20.088 19.5826321174415 7.31
F1 2 3.400509 19.634 19.599586950556 7.32
F1 2 3.442706 20.088 19.893877427212 7.45
F1 2 3.536103 20.088 20.4666533332448 7.77
F1 2 3.557066 20.543 20.5682999631966 7.87
F1 2 3.643832 20.998 20.762825939417 8.36
F1 2 3.673429 20.998 20.8455425870612 8.54
F1 2 3.673432 20.998 20.8455541636266 8.54
F1 2 3.713055 20.998 20.9561887741591 8.79
F1 2 3.720264 21.452 20.9736655671598 8.84
F1 2 3.731889 20.998 21.0053395168822 8.92
