LG	CHR	POS	MALE	FEMALE
1	88990	40	0	55.206
1	85074	18	0	55.206
1	84348	44	0	55.206
1	83806	38	0	55.206
1	51949	66	0	55.206
1	44678	71	0	55.206
1	38905	42	0	55.206
1	33653	27	0	55.206
1	29096	71	0	55.206
1	29096	53	0	55.206
1	29096	67	0	55.206
1	29096	39	0	55.206
1	29096	41	0	55.206
1	26000	17	0	55.206
1	17912	40	0	55.206
1	3521	57	0	55.206
1	45835	45	0	55.931
1	38905	13	0	55.931
1	18363	71	0	55.931
1	749	76	0	55.931
1	115671	25	0	56.655
1	115671	63	0	56.655
1	105581	32	0	56.655
1	56815	42	0	56.655
1	56815	7	0	56.655
1	51068	74	0	56.655
1	51068	72	0	56.655
1	39754	33	0	56.655
1	32586	8	0	56.655
1	25557	36	0	56.655
1	22747	70	0	56.655
1	22747	58	0	56.655
1	22747	31	0	56.655
1	19137	45	0	56.655
1	3832	43	0	56.655
1	39863	13	0	58.831
1	20265	11	0	58.831
1	20931	8	0	60.28
1	89842	30	0	61.005
1	46233	24	0	61.005
1	37298	39	0	61.005
1	5057	48	0	61.005
1	4365	44	0	61.005
1	3910	29	0	61.005
1	3910	77	0	61.005
1	2650	47	0	61.005
1	1291	26	0	61.005
1	1291	8	0	61.005
1	1291	63	0	61.005
1	37872	13	0	61.73
1	88600	62	0	63.179
1	80074	62	0	63.179
1	74127	30	0	63.179
1	41017	31	0	63.179
1	41017	44	0	63.179
1	41017	29	0	63.179
1	41017	9	0	63.179
1	26545	20	0	63.179
1	26545	16	0	63.179
1	26545	67	0	63.179
1	121857	70	0	63.904
1	121568	42	0	63.904
1	117194	19	0	63.904
1	112323	7	0	63.904
1	112242	43	0	63.904
1	112242	39	0	63.904
1	112242	53	0	63.904
1	112242	62	0	63.904
1	111553	43	0	63.904
1	111089	17	0	63.904
1	111089	16	0	63.904
1	109938	69	0	63.904
1	106796	39	0	63.904
1	103678	30	0	63.904
1	103678	21	0	63.904
1	103678	28	0	63.904
1	102766	21	0	63.904
1	102766	34	0	63.904
1	101967	58	0	63.904
1	94345	73	0	63.904
1	94345	76	0	63.904
1	85860	45	0	63.904
1	81030	34	0	63.904
1	80074	54	0	63.904
1	80074	35	0	63.904
1	72654	13	0	63.904
1	64164	66	0	63.904
1	61512	24	0	63.904
1	61512	20	0	63.904
1	60461	53	0	63.904
1	48009	44	0	63.904
1	47166	26	0	63.904
1	45203	62	0	63.904
1	42369	22	0	63.904
1	42369	6	0	63.904
1	38638	9	0	63.904
1	36327	8	0	63.904
1	31391	36	0	63.904
1	29874	12	0	63.904
1	24694	15	0	63.904
1	24397	40	0	63.904
1	24397	59	0	63.904
1	19550	44	0	63.904
1	13507	38	0	63.904
1	10537	60	0	63.904
1	3053	54	0	63.904
1	1196	56	0	63.904
1	1196	25	0	63.904
1	1152	69	0	63.904
1	675	49	0	63.904
1	675	13	0	63.904
1	76431	11	0	64.629
1	113732	17	0	65.353
1	113732	41	0	65.353
1	760	20	0	65.353
1	107743	42	0	66.078
1	104933	29	0	66.078
1	74332	40	0	66.078
1	74332	24	0	66.078
1	47214	19	0	66.078
1	47214	70	0	66.078
1	36605	33	0	66.078
1	2064	77	0	66.078
1	760	8	0	66.078
1	72	70	0	66.078
1	121613	57	0	66.803
1	281	46	0	67.527
1	106832	7	0	68.977
1	103988	10	0	68.977
1	75826	19	0	68.977
1	31576	15	0	68.977
1	23313	16	0	68.977
1	86718	70	0	70.427
1	84880	70	0	70.427
1	84880	59	0	70.427
1	70880	55	0	70.427
1	7501	12	0	70.427
1	7501	41	0	70.427
1	82132	30	0	72.602
1	82132	16	0	72.602
1	70059	32	0	72.602
1	119714	52	0	73.327
1	119714	63	0	73.327
1	119714	53	0	73.327
1	110957	6	0	73.327
1	103329	60	0	73.327
1	103329	7	0	73.327
1	102059	54	0	73.327
1	102059	9	0	73.327
1	42385	72	0	73.327
1	42385	67	0	73.327
1	25919	47	0	73.327
1	25919	25	0	73.327
1	5661	76	0	73.327
1	3105	76	0	73.327
1	97	75	0	73.327
1	116671	65	0	74.051
1	116671	43	0	74.051
1	46439	17	0	74.051
1	107079	57	0	74.776
1	107079	51	0	74.776
1	22897	61	0	74.776
1	1389	56	0	74.776
1	86874	68	0	75.501
1	14770	59	0	75.501
1	1389	57	0	75.501
1	115781	48	0	76.226
1	115781	47	0	76.226
1	115078	21	0	76.226
1	103173	52	0	76.226
1	101471	27	0	76.226
1	87511	76	0	76.226
1	86832	9	0	76.226
1	82334	56	0	76.226
1	80447	52	0	76.226
1	80447	59	0	76.226
1	63509	34	0	76.226
1	63509	61	0	76.226
1	58106	69	0	76.226
1	56046	35	0	76.226
1	49241	54	0	76.226
1	42426	33	0	76.226
1	42247	24	0	76.226
1	26927	36	0	76.226
1	9394	28	0	76.226
1	6075	17	0	76.226
1	4181	53	0	76.226
1	3769	29	0	76.226
1	1685	40	0	76.226
1	1515	77	0	76.226
1	1389	69	0	76.226
1	111846	72	0	76.95
1	111846	58	0	76.95
1	107198	37	0	76.95
1	107198	76	0	76.95
1	49241	25	0	76.95
1	45491	28	0	76.95
1	82400	57	0	77.675
1	58825	61	0	77.675
1	52691	72	0	77.675
1	40961	68	0	77.675
1	23687	45	0	77.675
1	113581	52	0	78.4
1	84577	57	0	78.4
1	33935	72	0	78.4
1	13826	18	0	78.4
1	4296	55	0	78.4
1	33935	56	0	79.124
1	30494	11	0	79.124
1	23692	30	0	79.124
1	817	19	0	79.849
1	817	14	0	79.849
1	108362	58	0	80.574
1	108362	57	0	80.574
1	108362	59	0	80.574
1	26182	14	0	81.298
1	111688	8	0	82.023
1	81647	57	0	83.473
1	30864	54	0	83.473
1	117881	60	0	84.922
1	116168	13	0	84.922
1	113012	27	0	84.922
1	108928	63	0	84.922
1	107665	50	0	84.922
1	92481	77	0	84.922
1	83546	57	0	84.922
1	82035	53	0	84.922
1	82035	54	0	84.922
1	81329	63	0	84.922
1	57910	24	0	84.922
1	52139	54	0	84.922
1	52139	26	0	84.922
1	52139	37	0	84.922
1	100741	7	0	85.647
1	44973	34	0	85.647
1	103919	23	0	86.372
1	79685	68	0	86.372
1	79685	43	0	86.372
1	101879	72	0	87.096
1	50238	18	0	87.096
1	50238	40	0	87.096
1	48108	72	0	87.096
1	44019	14	0	87.096
1	33218	57	0	87.096
1	33218	40	0	87.096
1	33218	53	0	87.096
1	15368	56	0	87.096
1	15368	62	0	87.096
1	1340	8	0	87.096
1	55194	50	0	87.821
1	55194	44	0	87.821
1	43461	50	0	87.821
1	35684	51	0	87.821
1	119757	72	0	88.546
1	119757	71	0	88.546
1	55775	16	0	88.546
1	40281	9	0	88.546
1	19165	37	0	88.546
1	19165	23	0	88.546
1	119757	65	0	89.271
1	119146	27	0	89.995
1	117464	67	0	89.995
1	110528	10	0	89.995
1	88004	48	0	89.995
1	45747	69	0	89.995
1	39047	57	0	89.995
1	39047	53	0	89.995
1	29520	61	0	89.995
1	6566	51	0	89.995
1	112809	46	0	92.17
1	108347	16	0	92.17
1	107814	72	0	92.17
1	103707	37	0	92.17
1	103707	22	0	92.17
1	103155	31	0	92.17
1	78045	25	0	92.17
1	78045	36	0	92.17
1	40403	63	0	92.17
1	36163	43	0	92.17
1	36163	29	0	92.17
1	36163	28	0	92.17
1	11591	48	0	92.17
1	110187	65	0	93.62
1	110187	59	0	93.62
1	110187	27	0	93.62
1	47108	17	0	93.62
1	101893	63	0	94.345
1	101893	60	0	94.345
1	101893	20	0	94.345
1	100739	30	0	94.345
1	34941	62	0	94.345
1	34941	23	0	94.345
1	32481	36	0	94.345
1	32481	41	0	94.345
1	20593	38	0	94.345
1	16176	39	0	94.345
1	114135	74	0	95.07
1	87144	67	0	95.07
1	87144	18	0	95.07
1	87144	53	0	95.07
1	76261	17	0	95.07
1	76261	76	0	95.07
1	56491	61	0	95.07
1	36789	37	0	95.07
1	36789	42	0	95.07
1	20593	57	0	95.07
1	2074	76	0	95.07
1	101811	51	0	95.794
1	83760	26	0	95.794
1	64293	40	0	95.794
1	64293	42	0	95.794
1	20119	61	0	95.794
1	20119	51	0	95.794
1	112251	44	0	96.519
1	109469	8	0	96.519
1	100570	52	0	96.519
1	77377	56	0	96.519
1	36906	69	0	96.519
1	120889	52	0	97.244
1	112598	25	0	97.244
1	106702	38	0	97.244
1	76145	52	0	97.244
1	76145	46	0	97.244
1	66728	52	0	97.244
1	66728	9	0	97.244
1	66728	73	0	97.244
1	66728	18	0	97.244
1	66728	45	0	97.244
1	66021	69	0	97.244
1	48452	10	0	97.244
1	19864	52	0	97.244
1	1855	68	0	97.244
1	1855	72	0	97.244
1	1855	67	0	97.244
1	114336	52	0	97.968
1	109469	28	0	97.968
1	105527	46	0	97.968
1	69511	44	0	97.968
1	67761	69	0	97.968
1	67761	10	0	97.968
1	67761	12	0	97.968
1	28456	72	0	97.968
1	4154	76	0	97.968
1	109469	49	0	98.693
1	103524	69	0	98.693
1	102524	29	0	98.693
1	99343	51	0	98.693
1	77376	55	0	98.693
1	61735	24	0	98.693
1	60338	11	0	98.693
1	58596	35	0	98.693
1	58410	56	0	98.693
1	42381	27	0	98.693
1	42381	26	0	98.693
1	39084	67	0	98.693
1	39084	52	0	98.693
1	32782	40	0	98.693
1	115909	9	0	99.418
1	114342	67	0	99.418
1	114342	15	0	99.418
1	111117	40	0	99.418
1	104968	45	0	99.418
1	104093	52	0	99.418
1	86394	6	0	99.418
1	35235	66	0	99.418
1	35235	63	0	99.418
1	111117	48	0	100.142
1	85042	29	0	100.142
1	3758	38	0	100.867
1	3758	40	0	100.867
1	121958	18	0	101.592
1	115980	22	0	101.592
1	84506	67	0	101.592
1	72977	75	0	101.592
1	64160	43	0	101.592
1	36965	28	0	101.592
1	36965	40	0	101.592
1	48696	47	0	102.316
1	9705	14	0	102.316
1	121335	72	0	103.766
1	121335	37	0	103.766
1	118469	35	0	103.766
1	118469	11	0	103.766
1	118469	57	0	103.766
1	118469	41	0	103.766
1	117302	24	0	103.766
1	109261	55	0	103.766
1	109261	36	0	103.766
1	106881	64	0	103.766
1	101607	44	0	103.766
1	99141	45	0	103.766
1	79673	20	0	103.766
1	73819	11	0	103.766
1	73002	40	0	103.766
1	66373	46	0	103.766
1	54277	24	0	103.766
1	48722	14	0	103.766
1	48722	6	0	103.766
1	48722	16	0	103.766
1	40212	62	0	103.766
1	38139	47	0	103.766
1	37667	23	0	103.766
1	34742	45	0	103.766
1	33904	19	0	103.766
1	3403	76	0	103.766
1	113902	33	0	104.491
1	101571	55	0	104.491
1	79794	46	0	104.491
1	55704	64	0	104.491
1	43721	37	0	104.491
1	43721	27	0	104.491
1	42662	49	0	104.491
1	38343	45	0	104.491
1	33606	21	0	104.491
1	8468	8	0	104.491
1	8402	15	0	104.491
1	4454	38	0	104.491
1	4454	11	0	104.491
1	157	42	0	104.491
1	117951	22	0	105.215
1	82596	25	0	105.215
1	82596	31	0	105.215
1	52015	33	0	105.215
1	21138	38	0	105.215
1	21138	18	0	105.215
1	3266	76	0	105.215
1	116078	17	0	105.94
1	76550	16	0	105.94
1	21138	16	0	105.94
1	117732	59	0	106.665
1	99419	69	0	106.665
1	99419	18	0	106.665
1	99419	15	0	106.665
1	86405	24	0	106.665
1	85732	61	0	106.665
1	71810	44	0	106.665
1	60511	50	0	106.665
1	29144	73	0	106.665
1	26263	39	0	106.665
1	3894	77	0	107.39
1	43	77	0	107.39
1	66676	41	0	108.114
1	35668	51	0	108.114
1	83865	51	0	108.839
1	83865	67	0	108.839
1	102761	54	0	110.289
1	102761	72	0	110.289
1	83290	53	0	110.289
1	48659	53	0	110.289
1	16534	48	0	110.289
1	16534	21	0	110.289
1	99409	62	0	111.013
1	91776	53	0	111.013
1	85406	67	0	111.013
1	85406	63	0	111.013
1	63725	19	0	111.013
1	62872	15	0	111.013
1	48487	49	0	111.013
1	44696	47	0	111.013
1	33303	11	0	111.013
1	31486	63	0	111.013
1	27963	52	0	111.013
1	2873	42	0	111.013
1	105272	9	0	111.738
1	105272	73	0	111.738
1	105272	6	0	111.738
1	93717	9	0	111.738
1	85327	41	0	111.738
1	74641	57	0	111.738
1	2873	76	0	111.738
1	85327	14	0	112.463
1	49371	60	0	112.463
1	42679	72	0	112.463
1	29798	33	0	112.463
1	29798	28	0	112.463
1	29798	76	0	112.463
1	19665	8	0	112.463
1	3650	28	0	112.463
1	59373	37	0	113.187
1	21518	45	0	113.187
1	21518	42	0	113.187
1	119421	28	0	113.912
1	119421	45	0	113.912
1	115860	54	0	113.912
1	115764	43	0	113.912
1	112816	30	0	113.912
1	109606	31	0	113.912
1	109606	61	0	113.912
1	109606	70	0	113.912
1	105030	60	0	113.912
1	96283	8	0	113.912
1	96283	61	0	113.912
1	86572	46	0	113.912
1	86572	42	0	113.912
1	84817	65	0	113.912
1	76320	47	0	113.912
1	64394	47	0	113.912
1	56150	53	0	113.912
1	56150	37	0	113.912
1	55758	58	0	113.912
1	55758	71	0	113.912
1	43227	8	0	113.912
1	40552	38	0	113.912
1	40552	76	0	113.912
1	40473	39	0	113.912
1	36520	68	0	113.912
1	25701	64	0	113.912
1	12237	13	0	113.912
1	3527	71	0	113.912
1	1946	24	0	113.912
1	113744	32	0	114.637
1	98058	33	0	114.637
1	95088	25	0	114.637
1	90127	61	0	114.637
1	80626	41	0	114.637
1	73229	30	0	114.637
1	69680	14	0	114.637
1	51197	11	0	114.637
1	41496	66	0	114.637
1	41496	72	0	114.637
1	17263	52	0	114.637
1	118645	10	0	115.361
1	109888	74	0	116.086
1	109888	73	0	116.086
1	109888	9	0	116.086
1	80431	17	0	116.086
1	36362	42	0	116.086
1	34309	70	0	116.086
1	33099	61	0	116.086
1	24064	28	0	116.086
1	24064	47	0	116.086
1	20942	35	0	116.086
1	114092	65	0	116.811
1	114092	11	0	116.811
1	114092	17	0	116.811
1	112399	32	0	116.811
1	110182	74	0	116.811
1	101140	38	0	116.811
1	101140	55	0	116.811
1	83302	10	0	116.811
1	61406	64	0	116.811
1	54857	34	0	116.811
1	53882	27	0	116.811
1	53882	63	0	116.811
1	36362	9	0	116.811
1	32662	21	0	116.811
1	26885	73	0	116.811
1	26885	63	0	116.811
1	26885	27	0	116.811
1	113398	14	0	117.535
1	92892	69	0	117.535
1	75733	40	0	117.535
1	54584	35	0	117.535
1	42944	48	0	117.535
1	42944	30	0	117.535
1	32137	74	0	117.535
1	116472	64	0	118.26
1	114139	69	0	118.26
1	114139	53	0	118.26
1	52154	24	0	118.26
1	2582	58	0	118.26
1	2582	10	0	118.26
1	116327	26	0	118.985
1	115221	45	0	118.985
1	114284	71	0	118.985
1	110637	45	0	118.985
1	104277	19	0	118.985
1	104277	21	0	118.985
1	84223	9	0	118.985
1	71352	36	0	118.985
1	69503	18	0	118.985
1	61212	15	0	118.985
1	61212	51	0	118.985
1	33132	45	0	118.985
1	21403	70	0	118.985
1	21403	64	0	118.985
1	15437	9	0	118.985
1	2696	75	0	118.985
1	109609	63	0	120.435
1	99974	38	0	120.435
1	86202	71	0	120.435
1	83041	65	0	120.435
1	78581	17	0	120.435
1	66888	32	0	120.435
1	66888	31	0	120.435
1	66888	61	0	120.435
1	66888	39	0	120.435
1	66888	36	0	120.435
1	52344	59	0	120.435
1	45817	50	0	120.435
1	45817	8	0	120.435
1	45817	33	0	120.435
1	44395	25	0	120.435
1	44395	50	0	120.435
1	41036	8	0	120.435
1	41036	32	0	120.435
1	32725	38	0	120.435
1	63327	52	0	121.159
1	63327	57	0	121.159
1	30323	14	0	121.159
1	35593	61	0	121.884
1	73710	46	0	122.609
1	54231	58	0	122.609
1	39731	8	0	122.609
1	34118	43	0	122.609
1	3374	75	0	122.609
1	36193	61	0	123.333
1	115415	7	0	124.783
1	105334	22	0	124.783
1	102930	59	0	124.783
1	102159	43	0	124.783
1	62900	36	0	124.783
1	13010	16	0	124.783
1	13010	60	0	124.783
1	13010	34	0	124.783
1	8139	65	0	124.783
1	91192	36	0	126.233
1	47740	64	0	126.233
1	38688	42	0	126.233
1	2459	54	0	126.233
1	121719	25	0	126.957
1	120354	34	0	126.957
1	108413	31	0	126.957
1	99314	47	0	126.957
1	98158	15	0	126.957
1	98158	14	0	126.957
1	76256	20	0	126.957
1	76256	51	0	126.957
1	69427	28	0	126.957
1	69071	20	0	126.957
1	58609	44	0	126.957
1	49278	39	0	126.957
1	41464	41	0	126.957
1	40873	29	0	126.957
1	37400	31	0	126.957
1	34849	22	0	126.957
1	23435	74	0	126.957
1	18311	49	0	126.957
1	18311	59	0	126.957
1	18311	53	0	126.957
1	15022	66	0	126.957
1	15022	57	0	126.957
1	120354	7	0	127.682
1	57538	68	0	127.682
1	51195	17	0	127.682
1	26868	45	0	127.682
1	113456	13	0	128.407
1	77152	39	0	128.407
1	77152	15	0	128.407
1	53330	73	0	128.407
1	9926	29	0	128.407
1	8447	47	0	128.407
1	115406	7	0	129.131
1	85929	30	0	129.131
1	85929	72	0	129.131
1	60402	22	0	129.131
1	58363	18	0	129.131
1	54252	42	0	129.131
1	49663	57	0	129.131
1	49663	51	0	129.131
1	49663	50	0	129.131
1	49345	25	0	129.131
1	46136	66	0	129.131
1	45278	23	0	129.131
1	45278	26	0	129.131
1	45278	18	0	129.131
1	33313	74	0	129.131
1	33313	17	0	129.131
1	31663	58	0	129.131
1	31663	25	0	129.131
1	85929	52	0	129.856
1	924	75	0	129.856
1	105385	72	0	131.306
1	86384	26	0	131.306
1	86384	15	0	131.306
1	81507	58	0	131.306
1	34338	35	0	131.306
1	34338	36	0	131.306
1	34338	55	0	131.306
1	28925	55	0	131.306
1	12815	48	0	131.306
1	104808	71	0	132.03
1	83366	23	0	132.03
1	83366	19	0	132.03
1	78905	30	0	132.03
1	78905	10	0	132.03
1	70310	63	0	132.03
1	42874	62	0	132.03
1	16400	22	0	132.03
1	7143	33	0	132.03
1	105385	7	0	132.755
1	78905	47	0	132.755
1	7143	56	0	132.755
1	119215	35	0	133.48
1	119215	24	0	133.48
1	117197	45	0	133.48
1	49030	61	0	133.48
1	34480	73	0	133.48
1	34480	54	0	133.48
1	7667	25	0	133.48
1	7667	27	0	133.48
1	7667	16	0	133.48
1	1231	61	0	133.48
1	1231	76	0	133.48
1	48749	14	0	134.205
1	21896	36	0	134.205
1	4432	15	0	134.205
1	111331	46	0	134.929
1	111331	76	0	134.929
1	111331	45	0	134.929
1	48483	56	0	134.929
1	31704	13	0	134.929
1	31704	12	0	134.929
1	30536	49	0	134.929
1	21896	45	0	134.929
1	21896	30	0	134.929
1	17467	60	0	134.929
1	69614	57	0	135.654
1	69614	16	0	135.654
1	69614	23	0	135.654
1	106676	55	0	136.379
1	60089	35	0	137.103
1	42663	64	0	137.103
1	79211	41	0	137.828
1	121394	42	0	139.278
1	120005	12	0	139.278
1	109328	33	0	139.278
1	102042	73	0	139.278
1	102042	50	0	139.278
1	102042	31	0	139.278
1	43954	38	0	139.278
1	43954	61	0	139.278
1	114005	17	0	140.002
1	112440	53	0	140.002
1	25412	16	0	140.002
1	25412	26	0	140.002
1	25412	42	0	140.002
1	25412	75	0	140.002
1	25412	32	0	140.002
1	112148	32	0	140.727
1	50483	73	0	140.727
1	50483	58	0	140.727
1	42655	38	0	140.727
1	42655	60	0	140.727
1	13239	37	0	140.727
1	13239	34	0	140.727
1	12711	73	0	142.177
1	12711	70	0	142.177
1	46131	19	0	143.626
1	114767	62	0	144.351
1	105022	29	0	144.351
1	105022	26	0	144.351
1	86060	31	0	144.351
1	74538	67	0	144.351
1	55188	46	0	144.351
1	55188	9	0	144.351
1	55188	43	0	144.351
1	33671	68	0	144.351
1	23385	44	0	144.351
1	23385	28	0	144.351
1	23385	62	0	144.351
1	5935	33	0	144.351
1	5935	77	0	144.351
1	114064	46	0	145.076
1	104253	62	0	145.076
1	85223	33	0	145.076
1	85223	35	0	145.076
1	85223	41	0	145.076
1	85223	42	0	145.076
1	85223	76	0	145.076
1	68878	58	0	145.076
1	59833	68	0	145.076
1	46881	63	0	145.076
1	46881	8	0	145.076
1	37153	18	0	145.076
1	37153	17	0	145.076
1	16227	32	0	145.076
1	7171	48	0	145.8
1	16000	49	0	147.25
1	16000	45	0	147.25
1	16000	39	0	147.25
1	93434	23	0	147.975
1	93434	19	0	147.975
1	90262	12	0	147.975
1	70917	9	0	147.975
1	55204	38	0	147.975
1	26943	62	0	147.975
1	26943	10	0	147.975
1	14842	59	0	147.975
1	14842	58	0	147.975
1	63499	45	0	150.15
1	63499	23	0	150.15
1	63499	20	0	150.15
1	63499	43	0	150.15
1	21066	14	0	153.052
1	1233	77	0	154.502
1	82515	32	0	155.951
1	82515	44	0	155.951
1	3130	77	0	155.951
1	3130	55	0	155.951
1	119015	37	0	159.581
1	119015	21	0	159.581
1	119015	23	0	159.581
1	12006	32	0	159.581
1	3126	55	0	159.581
1	935	14	0	159.581
1	935	12	0	159.581
1	935	9	0	161.031
1	114518	12	0	162.48
1	114518	69	0	162.48
1	79175	38	0	162.48
1	3422	60	0	162.48
1	3422	31	0	162.48
1	112823	47	0	163.205
1	5394	42	0	163.205
1	326	24	0	163.205
1	326	76	0	163.205
1	326	25	0	163.205
1	326	26	0	163.205
1	112065	40	0	164.655
1	99866	16	0	164.655
1	99866	17	0	164.655
1	99866	34	0	164.655
1	97919	17	0	164.655
1	57111	45	0	164.655
1	112065	40	0	165.379
1	80138	17	0	165.379
1	76811	63	0	165.379
1	74726	14	0	165.379
1	74726	58	0	165.379
1	74726	25	0	165.379
1	74726	53	0	165.379
1	63170	15	0	165.379
1	32729	55	0	165.379
1	32729	39	0	165.379
1	1540	29	0	165.379
1	2393	72	0	166.104
2	65717	13	0	0
2	117121	59	0	1.45
2	117121	57	0	1.45
2	84812	10	0	1.45
2	80760	44	0	1.45
2	68273	26	0	1.45
2	53731	55	0	1.45
2	46600	18	0	1.45
2	40685	50	0	1.45
2	112544	48	0	2.174
2	105260	69	0	2.174
2	105260	68	0	2.174
2	105260	32	0	2.174
2	35168	73	0	2.174
2	35168	11	0	2.174
2	35168	66	0	2.174
2	31042	48	0	2.174
2	31042	60	0	2.174
2	27574	44	0	2.174
2	13075	31	0	2.174
2	4497	31	0	2.174
2	36465	21	0	3.624
2	62254	24	0	6.526
2	39539	70	0	6.526
2	72048	53	0	7.251
2	72048	19	0	7.251
2	42777	8	0	7.251
2	39539	23	0	7.975
2	39539	24	0	7.975
2	93936	66	0	9.425
2	93936	65	0	9.425
2	59835	21	0	9.425
2	22983	66	0	9.425
2	22983	45	0	9.425
2	22983	68	0	9.425
2	83702	56	0	11.6
2	83702	52	0	11.6
2	2610	75	0	13.775
2	115673	49	0	15.225
2	103633	61	0	15.225
2	83791	22	0	15.225
2	83791	23	0	15.225
2	40530	71	0	15.225
2	40530	65	0	15.225
2	21261	57	0	15.225
2	18839	48	0	15.225
2	2003	75	0	15.225
2	2003	54	0	15.225
2	115266	30	0	15.95
2	115266	12	0	15.95
2	76000	67	0	15.95
2	76000	58	0	15.95
2	76000	11	0	15.95
