population	type	chromosome	region	rate	newreg
F1	co-linear	2	Terminal	2.91	CollTerm
F1	co-linear	2	Terminal	3.27	CollTerm
F1	co-linear	2	Terminal	3.48	CollTerm
F1	co-linear	2	Terminal	3.51	CollTerm
F1	co-linear	2	Terminal	3.52	CollTerm
F1	co-linear	2	Terminal	3.99	CollTerm
F1	co-linear	2	Terminal	4.02	CollTerm
F1	co-linear	2	Terminal	4.21	CollTerm
F1	co-linear	2	Terminal	4.31	CollTerm
F1	co-linear	2	Terminal	5.07	CollTerm
F1	co-linear	2	Terminal	5.19	CollTerm
F1	co-linear	2	Terminal	5.25	CollTerm
F1	co-linear	2	Terminal	5.28	CollTerm
F1	co-linear	2	Terminal	5.5	CollTerm
F1	co-linear	2	Terminal	5.59	CollTerm
F1	co-linear	2	Terminal	6.02	CollTerm
F1	co-linear	2	Terminal	5.77	CollTerm
F1	co-linear	2	Terminal	5.73	CollTerm
F1	co-linear	2	Co-linear	5.58	Co-linear
F1	co-linear	2	Co-linear	5.33	Co-linear
F1	co-linear	2	Co-linear	5.28	Co-linear
F1	co-linear	2	Co-linear	4.78	Co-linear
F1	co-linear	2	Co-linear	4.39	Co-linear
F1	co-linear	2	Co-linear	4.37	Co-linear
F1	co-linear	2	Co-linear	4.34	Co-linear
F1	co-linear	2	Co-linear	4.31	Co-linear
F1	co-linear	2	Co-linear	4.85	Co-linear
F1	co-linear	2	Co-linear	4.9	Co-linear
F1	co-linear	2	Co-linear	5	Co-linear
F1	co-linear	2	Co-linear	4.97	Co-linear
F1	co-linear	2	Co-linear	4.9	Co-linear
F1	co-linear	2	Co-linear	4.87	Co-linear
F1	co-linear	2	Co-linear	4.78	Co-linear
F1	co-linear	2	Co-linear	4.71	Co-linear
F1	co-linear	2	Co-linear	4.71	Co-linear
F1	co-linear	2	Co-linear	4.65	Co-linear
F1	co-linear	2	Co-linear	4.6	Co-linear
F1	co-linear	2	Co-linear	4.61	Co-linear
F1	co-linear	2	Co-linear	4.62	Co-linear
F1	co-linear	2	Co-linear	4.65	Co-linear
F1	co-linear	2	Co-linear	4.7	Co-linear
F1	co-linear	2	Co-linear	4.97	Co-linear
F1	co-linear	2	Co-linear	5.11	Co-linear
F1	co-linear	2	Co-linear	5.32	Co-linear
F1	co-linear	2	Co-linear	5.4	Co-linear
F1	co-linear	2	Co-linear	5.4	Co-linear
F1	co-linear	2	Co-linear	5.66	Co-linear
F1	co-linear	2	Co-linear	6.52	Co-linear
F1	co-linear	2	Co-linear	6.57	Co-linear
F1	co-linear	2	Co-linear	6.71	Co-linear
F1	co-linear	2	Co-linear	6.98	Co-linear
F1	co-linear	2	Co-linear	6.98	Co-linear
F1	co-linear	2	Co-linear	7.03	Co-linear
F1	co-linear	2	Co-linear	7.25	Co-linear
F1	co-linear	2	Co-linear	7.27	Co-linear
F1	co-linear	2	Co-linear	7.31	Co-linear
F1	co-linear	2	Co-linear	7.32	Co-linear
F1	co-linear	2	Co-linear	7.45	Co-linear
F1	co-linear	2	Co-linear	7.77	Co-linear
F1	co-linear	2	Co-linear	7.87	Co-linear
F1	co-linear	2	Co-linear	8.36	Co-linear
F1	co-linear	2	Co-linear	8.54	Co-linear
F1	co-linear	2	Co-linear	8.54	Co-linear
F1	co-linear	2	Co-linear	8.79	Co-linear
F1	co-linear	2	Co-linear	8.84	Co-linear
F1	co-linear	2	Co-linear	8.92	Co-linear
F1	co-linear	2	Co-linear	8.94	Co-linear
F1	co-linear	2	Co-linear	9.07	Co-linear
F1	co-linear	2	Co-linear	9.08	Co-linear
F1	co-linear	2	Co-linear	9.13	Co-linear
F1	co-linear	2	Co-linear	9.21	Co-linear
F1	co-linear	2	Co-linear	9.47	Co-linear
F1	co-linear	2	Co-linear	9.48	Co-linear
F1	co-linear	2	Co-linear	9.5	Co-linear
F1	co-linear	2	Co-linear	9.57	Co-linear
F1	co-linear	2	Co-linear	9.63	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.68	Co-linear
F1	co-linear	2	Co-linear	9.64	Co-linear
F1	co-linear	2	Co-linear	9.62	Co-linear
F1	co-linear	2	Co-linear	9.64	Co-linear
F1	co-linear	2	Co-linear	9.89	Co-linear
F1	co-linear	2	Co-linear	10.01	Co-linear
F1	co-linear	2	Co-linear	10.28	Co-linear
F1	co-linear	2	Co-linear	10.49	Co-linear
F1	co-linear	2	Co-linear	10.56	Co-linear
F1	co-linear	2	Co-linear	10.76	Co-linear
F1	co-linear	2	Co-linear	11.07	Co-linear
F1	co-linear	2	Co-linear	11.3	Co-linear
F1	co-linear	2	Co-linear	11.49	Co-linear
F1	co-linear	2	Co-linear	11.69	Co-linear
F1	co-linear	2	Co-linear	11.76	Co-linear
F1	co-linear	2	Co-linear	11.8	Co-linear
F1	co-linear	2	Co-linear	12.21	Co-linear
F1	co-linear	2	Co-linear	12.23	Co-linear
F1	co-linear	2	Co-linear	12.31	Co-linear
F1	co-linear	2	Co-linear	12.4	Co-linear
F1	co-linear	2	Co-linear	12.74	Co-linear
F1	co-linear	2	Co-linear	12.93	Co-linear
F1	co-linear	2	Co-linear	12.99	Co-linear
F1	co-linear	2	Co-linear	13.05	Co-linear
F1	co-linear	2	Co-linear	13.1	Co-linear
F1	co-linear	2	Co-linear	13.32	Co-linear
F1	co-linear	2	Co-linear	13.41	Co-linear
F1	co-linear	2	Co-linear	13.47	Co-linear
F1	co-linear	2	Co-linear	13.47	Co-linear
F1	co-linear	2	Co-linear	13.6	Co-linear
F1	co-linear	2	Co-linear	13.6	Co-linear
F1	co-linear	2	Co-linear	13.75	Co-linear
F1	co-linear	2	Co-linear	13.84	Co-linear
F1	co-linear	2	Co-linear	13.9	Co-linear
F1	co-linear	2	Co-linear	13.92	Co-linear
F1	co-linear	2	Co-linear	14.01	Co-linear
F1	co-linear	2	Co-linear	14.12	Co-linear
F1	co-linear	2	Co-linear	14.26	Co-linear
F1	co-linear	2	Co-linear	14.35	Co-linear
F1	co-linear	2	Co-linear	14.41	Co-linear
F1	co-linear	2	Co-linear	14.52	Co-linear
F1	co-linear	2	Co-linear	14.6	Co-linear
F1	co-linear	2	Co-linear	14.86	Co-linear
F1	co-linear	2	Co-linear	15.18	Co-linear
F1	co-linear	2	Co-linear	15.19	Co-linear
F1	co-linear	2	Co-linear	15.19	Co-linear
F1	co-linear	2	Co-linear	15.19	Co-linear
F1	co-linear	2	Co-linear	15.12	Co-linear
F1	co-linear	2	Co-linear	15.07	Co-linear
F1	co-linear	2	Co-linear	15.01	Co-linear
F1	co-linear	2	Co-linear	14.83	Co-linear
F1	co-linear	2	Co-linear	14.5	Co-linear
F1	co-linear	2	Co-linear	14.42	Co-linear
F1	co-linear	2	Co-linear	14.41	Co-linear
F1	co-linear	2	Co-linear	14.38	Co-linear
F1	co-linear	2	Co-linear	14.36	Co-linear
F1	co-linear	2	Co-linear	13.65	Co-linear
F1	co-linear	2	Co-linear	13.21	Co-linear
F1	co-linear	2	Co-linear	12.9	Co-linear
F1	co-linear	2	Co-linear	12.88	Co-linear
F1	co-linear	2	Co-linear	12.86	Co-linear
F1	co-linear	2	Co-linear	12.8	Co-linear
F1	co-linear	2	Co-linear	12.69	Co-linear
F1	co-linear	2	Co-linear	12.35	Co-linear
F1	co-linear	2	Co-linear	10.86	Co-linear
F1	co-linear	2	Co-linear	10.38	Co-linear
F1	co-linear	2	Co-linear	9.8	Co-linear
F1	co-linear	2	Co-linear	9.45	Co-linear
F1	co-linear	2	Co-linear	9.09	Co-linear
F1	co-linear	2	Co-linear	8.85	Co-linear
F1	co-linear	2	Co-linear	8.69	Co-linear
F1	co-linear	2	Co-linear	8.35	Co-linear
F1	co-linear	2	Co-linear	7.71	Co-linear
F1	co-linear	2	Co-linear	7.7	Co-linear
F1	co-linear	2	Co-linear	7.57	Co-linear
F1	co-linear	2	Co-linear	7.52	Co-linear
F1	co-linear	2	Co-linear	7.44	Co-linear
F1	co-linear	2	Co-linear	7.06	Co-linear
F1	co-linear	2	Co-linear	6.07	Co-linear
F1	co-linear	2	Co-linear	6.01	Co-linear
F1	co-linear	2	Co-linear	5.59	Co-linear
F1	co-linear	2	Co-linear	5.11	Co-linear
F1	co-linear	2	Co-linear	4.23	Co-linear
F1	co-linear	2	Terminal	3.09	CollTerm
F1	co-linear	2	Terminal	2.95	CollTerm
F1	co-linear	2	Terminal	2.87	CollTerm
F1	co-linear	2	Terminal	2.87	CollTerm
F1	co-linear	2	Terminal	2.85	CollTerm
F1	co-linear	2	Terminal	1.44	CollTerm
F1	co-linear	2	Terminal	0.74	CollTerm
F1	co-linear	2	Terminal	0.26	CollTerm
F1	co-linear	2	Terminal	0.13	CollTerm
F1	co-linear	2	Terminal	0.08	CollTerm
F1	co-linear	2	Terminal	0.08	CollTerm
F1	co-linear	2	Terminal	0.08	CollTerm
F1	co-linear	2	Terminal	0.06	CollTerm
F1	co-linear	2	Terminal	0.06	CollTerm
F1	co-linear	2	Terminal	0.06	CollTerm
F1	co-linear	2	Terminal	0.06	CollTerm
F1	co-linear	2	Terminal	0.03	CollTerm
F1	co-linear	2	Terminal	0.03	CollTerm
F1	inversion	4	Terminal	5.66	Terminal
F1	inversion	4	Terminal	6.1	Terminal
F1	inversion	4	Terminal	6.25	Terminal
F1	inversion	4	Terminal	6.65	Terminal
F1	inversion	4	Terminal	6.86	Terminal
F1	inversion	4	Terminal	7.29	Terminal
F1	inversion	4	Terminal	7.35	Terminal
F1	inversion	4	Terminal	7.68	Terminal
F1	inversion	4	Terminal	7.73	Terminal
F1	inversion	4	Terminal	7.76	Terminal
F1	inversion	4	Terminal	7.95	Terminal
F1	inversion	4	Terminal	8.02	Terminal
F1	inversion	4	Terminal	8.07	Terminal
F1	inversion	4	Terminal	8.31	Terminal
F1	inversion	4	Terminal	8.34	Terminal
F1	inversion	4	Terminal	8.5	Terminal
F1	inversion	4	Terminal	9.09	Terminal
F1	inversion	4	Terminal	9.12	Terminal
F1	inversion	4	Terminal	9.68	Terminal
F1	inversion	4	Terminal	9.83	Terminal
F1	inversion	4	Terminal	9.88	Terminal
F1	inversion	4	Terminal	10.12	Terminal
F1	inversion	4	Terminal	10.27	Terminal
F1	inversion	4	Terminal	10.35	Terminal
F1	inversion	4	Terminal	10.64	Terminal
F1	inversion	4	Terminal	10.82	Terminal
F1	inversion	4	Terminal	10.9	Terminal
F1	inversion	4	Terminal	10.94	Terminal
F1	inversion	4	Terminal	11	Terminal
F1	inversion	4	Terminal	11	Terminal
F1	inversion	4	Terminal	11.65	Terminal
F1	inversion	4	Terminal	11.82	Terminal
F1	inversion	4	Terminal	12.01	Terminal
F1	inversion	4	Terminal	12.08	Terminal
F1	inversion	4	Terminal	12.18	Terminal
F1	inversion	4	Terminal	12.36	Terminal
F1	inversion	4	Terminal	12.37	Terminal
F1	inversion	4	Terminal	12.44	Terminal
F1	inversion	4	Terminal	12.6	Terminal
F1	inversion	4	Terminal	13.04	Terminal
F1	inversion	4	Terminal	13.17	Terminal
F1	inversion	4	Terminal	13.5	Terminal
F1	inversion	4	Terminal	14.21	Terminal
F1	inversion	4	Terminal	14.42	Terminal
F1	inversion	4	Terminal	14.5	Terminal
F1	inversion	4	Terminal	14.68	Terminal
F1	inversion	4	Terminal	14.84	Terminal
F1	inversion	4	Terminal	14.93	Terminal
F1	inversion	4	Terminal	15.24	Terminal
F1	inversion	4	Terminal	15.4	Terminal
F1	inversion	4	Terminal	15.52	Terminal
F1	inversion	4	Terminal	15.62	Terminal
F1	inversion	4	Terminal	15.66	Terminal
F1	inversion	4	Terminal	15.69	Terminal
F1	inversion	4	Terminal	15.7	Terminal
F1	inversion	4	Terminal	15.78	Terminal
F1	inversion	4	Terminal	15.83	Terminal
F1	inversion	4	Terminal	15.94	Terminal
F1	inversion	4	Terminal	15.96	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Terminal	16.01	Terminal
F1	inversion	4	Terminal	16.01	Terminal
F1	inversion	4	Terminal	16.01	Terminal
F1	inversion	4	Terminal	16	Terminal
F1	inversion	4	Inv-Adjacent	15.98	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.98	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.92	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.9	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.73	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.62	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.57	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.47	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.36	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.22	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.21	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	15.01	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	14.56	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	14.56	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	14.36	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	14.11	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	13.99	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	12.4	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	12.21	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	8.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	8.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	8.54	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.63	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.85	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.71	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.5	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.22	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.2	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.19	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.01	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.01	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.94	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.78	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.8	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.86	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	0.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.11	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.4	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.52	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.7	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.7	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.79	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	1.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.17	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.35	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.45	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.66	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.66	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.7	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.77	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.91	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	2.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.05	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.07	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.13	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.19	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.23	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.25	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.38	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.41	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.52	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.55	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.55	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.58	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.62	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.62	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.66	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.75	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.76	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	3.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.04	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.16	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.42	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.44	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.49	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.54	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.58	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.67	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.67	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.68	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.87	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.93	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.08	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.08	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.08	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.54	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.59	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.74	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.98	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.05	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.14	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.19	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.28	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.31	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.35	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.56	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.71	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.72	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.16	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.17	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.17	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.25	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.35	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.49	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.62	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.7	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.74	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.79	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.8	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.85	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.88	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.89	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.92	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.92	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.92	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.92	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.91	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.9	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.88	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.78	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.76	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.75	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.75	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.71	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.64	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.59	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.55	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.55	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.53	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.51	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.51	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.5	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.21	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.19	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.09	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.08	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.04	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.03	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.03	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	7.01	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.99	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.97	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.95	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.91	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.91	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.88	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.88	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.86	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.86	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.85	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.85	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.82	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.81	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.8	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.79	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.79	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.77	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.76	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.74	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.69	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.68	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.6	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.6	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.58	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.58	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.55	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.54	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.53	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.52	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.51	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.47	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.46	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.43	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.42	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.39	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.37	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.31	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.28	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.27	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.22	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.15	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.12	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.12	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.12	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.08	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	6.04	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.96	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.87	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.68	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.63	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.61	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.6	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.56	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.36	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.3	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.29	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.23	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.07	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	5.01	Inv-Adjacent
F1	inversion	4	Inv-Adjacent	4.96	Inv-Adjacent
