set map marker phys gen
F1 1 258 16.878745 97.277
F1 1 259 16.881566 97.277
F1 1 260 16.939748 97.277
F1 1 261 16.962691 97.277
F1 1 262 16.99008 97.277
F1 1 263 17.018178 97.277
F1 1 264 17.021757 97.277
F1 1 265 17.086425 97.277
F1 1 266 17.210244 97.277
F1 1 267 17.26543 97.277
F1 1 268 17.076549 97.731
F1 1 269 17.286459 97.731
F1 1 270 17.291377 97.731
F1 1 271 17.302631 97.731
F1 1 272 17.357037 97.731
F1 1 273 17.384381 97.731
F1 1 274 17.384384 97.731
F1 1 275 17.418254 98.186
F1 1 276 17.42622 98.186
F1 1 277 17.455312 98.64
F1 1 278 17.512703 99.095
F1 1 279 17.535129 99.095
F1 1 280 17.548331 99.095
F1 1 281 17.569198 99.095
F1 1 282 17.586102 99.095
F1 1 283 17.594273 99.095
F1 1 284 17.594774 99.095
F1 1 285 17.618583 99.095
F1 1 286 17.646206 99.095
F1 1 287 17.664952 99.095
F1 1 288 17.78733 99.095
F1 1 289 17.772904 99.549
F1 1 290 17.780649 99.549
F1 1 291 17.830692 100.004
F1 1 292 17.846436 100.004
F1 1 293 17.882731 100.004
F1 1 294 17.902622 100.004
F1 1 295 17.902625 100.004
F1 1 296 17.815361 100.458
F1 1 297 17.933422 100.458
F1 1 298 17.966863 100.458
F1 1 299 17.972534 100.458
F1 1 300 18.046666 100.913
F1 1 301 18.050392 100.913
F1 1 302 18.060556 100.913
F1 1 303 18.083431 100.913
F1 1 304 18.09964 100.913
F1 1 305 18.112368 101.367
F1 1 306 18.135566 101.367
F1 1 307 18.147774 101.367
F1 1 308 18.150973 101.367
F1 1 309 18.151421 101.367
F1 1 310 18.284341 101.367
F1 1 311 18.262489 101.822
F1 1 312 18.263454 101.822
F1 1 313 18.304796 101.822
F1 1 314 18.459041 101.822
F1 1 315 18.459044 101.822
F1 1 316 18.471863 101.822
F1 1 317 18.509185 101.822
F1 1 318 18.535563 101.822
F1 1 319 18.558341 101.822
F1 1 320 18.642038 101.822
F1 1 321 18.662041 101.822
F1 1 322 18.699989 102.277
F1 1 323 18.703369 102.277
F1 1 324 18.708387 102.731
F1 1 325 18.730257 102.731
F1 1 326 18.789478 102.731
F1 1 327 18.778754 103.186
F1 1 328 18.786882 103.186
F1 1 329 18.814606 103.186
F1 1 330 18.74884 103.64
F1 1 331 18.869716 104.553
F1 1 332 18.907485 105.008
F1 1 333 18.9209 105.008
F1 1 334 19.005692 105.008
F1 1 335 19.011788 105.463
F1 1 336 19.014674 105.463
F1 1 337 19.005695 105.917
F1 1 338 19.034129 105.917
F1 1 339 19.189159 105.917
F1 1 340 19.139936 106.372
F1 1 341 19.243404 107.285
F1 1 342 19.291831 107.74
F1 1 343 19.292508 107.74
F1 1 344 19.914351 109.116
F1 1 345 19.495316 109.57
F1 1 346 19.49631 109.57
F1 1 347 19.532686000000002 109.57
F1 1 348 19.744597 109.57
F1 1 349 19.832303 109.57
F1 1 350 19.838496 109.57
F1 1 351 19.842241 109.57
F1 1 352 20.020712 110.025
F1 1 353 20.031198 110.479
F1 1 354 20.092315 110.934
F1 1 355 20.113712 110.934
F1 1 356 20.13376 110.934
F1 1 357 20.269176 110.934
F1 1 358 20.269173 111.388
F1 1 359 20.336788 111.843
F1 1 360 20.365111 111.843
F1 1 361 20.573595 113.219
F1 1 362 20.582066 113.674
F1 1 363 20.606326 113.674
F1 1 364 20.677196 114.128
F1 1 365 20.631428 114.583
F1 1 366 20.714944 114.583
F1 1 367 20.991547 114.583
F1 1 368 20.84892 115.037
F1 1 369 20.87134 115.037
F1 1 370 20.879349 115.037
F1 1 371 20.953439 115.037
F1 1 372 20.955463 115.037
F1 1 373 21.092237 116.405
F1 1 374 21.109058 116.405
F1 1 375 21.110463 116.405
F1 1 376 21.11572 116.405
F1 1 377 21.119136 116.405
F1 1 378 21.127869 116.405
F1 1 379 21.131711 116.405
F1 1 380 21.133542 116.405
F1 1 381 21.148942 116.405
F1 1 382 21.204401 116.405
F1 1 383 21.263731 117.319
F1 1 384 21.274066 117.319
F1 1 385 21.327066 117.773
F1 1 386 21.395651 117.773
F1 1 387 21.398667 117.773
F1 1 388 21.418035 117.773
F1 1 389 21.49236 118.686
F1 1 390 21.498213 118.686
F1 1 391 21.523741 118.686
F1 1 392 21.545125 119.141
F1 1 393 21.600237 119.141
F1 1 394 21.600386 119.595
F1 1 395 21.870307 120.509
F1 1 396 21.644956 120.963
F1 1 397 21.660822 120.963
F1 1 398 21.719638 120.963
F1 1 399 21.814567 120.963
F1 1 400 21.828322 120.963
F1 1 401 21.850563 120.963
F1 1 402 21.863448000000002 120.963
F1 1 403 21.883501 121.418
F1 1 404 21.89895 121.418
F1 1 405 21.937447 121.872
F1 1 406 21.984042 122.786
F1 1 407 21.991282000000002 122.786
F1 1 408 22.019711 122.786
F1 1 409 22.024601 122.786
F1 1 410 22.025791 122.786
F1 1 411 22.109416 122.786
F1 1 412 22.061788 123.24
F1 1 413 22.064085 123.24
F1 1 414 22.067777 123.24
F1 1 415 22.129449 123.24
F1 1 416 22.141646 123.24
F1 1 417 22.145775 123.24
F1 1 418 22.162005 123.24
F1 1 419 22.169835 123.24
F1 1 420 22.178628 123.24
F1 1 421 22.224386 123.695
F1 1 422 22.241601 123.695
F1 1 423 22.305338 123.695
F1 1 424 22.305701 124.149
F1 1 425 22.310426 124.149
F1 1 426 22.360818 125.526
F1 1 427 22.360821 125.526
F1 1 428 22.373482 126.902
F1 1 429 22.396988 127.356
F1 1 430 22.409282 127.811
F1 1 431 22.493645 128.265
F1 1 432 22.685093 131.057
F1 1 433 22.698008 131.511
F1 1 434 22.727229 131.966
F1 1 435 22.777416 131.966
F1 1 436 22.787158 131.966
F1 1 437 22.829505 131.966
F1 1 438 22.835942 131.966
F1 1 439 22.856666 131.966
F1 1 440 22.895107 132.879
F1 1 441 22.896417 133.334
F1 1 442 22.975781 135.165
F1 1 443 22.978789 135.165
F1 1 444 23.038012 136.078
F1 1 445 23.141816 136.078
F1 1 446 23.203197 136.078
F1 1 447 23.213434 136.078
F1 1 448 23.401776 136.078
F1 1 449 23.36142 136.532
F1 1 450 23.537445 136.532
F1 1 451 23.587772 136.987
F1 1 452 23.632804 137.9
F1 1 453 23.673497 137.9
F1 1 454 23.281464 138.813
F1 1 455 23.707546 138.813
F1 1 456 23.707549 138.813
F1 1 457 23.895336 142.059
F1 1 458 23.842342 142.514
F1 1 459 23.92741 143.427
F1 1 460 24.060451 143.427
F1 1 461 23.99687 143.882
F1 1 462 24.101384 143.882
F1 1 463 24.443979 147.089
F1 1 464 24.446166 147.089
F1 1 465 24.511218 147.543
F1 1 466 24.5277 147.998
F1 1 467 24.5937 148.452
F1 1 468 24.607974 148.452
F1 1 469 24.622369 148.452
F1 1 470 24.633261 148.452
F1 1 471 24.77919 148.452
F1 1 472 24.894185 150.279
F1 1 473 25.005997 153.984
F1 1 474 25.035168 154.438
F1 1 475 25.048617 154.893
F1 1 476 25.117569 156.269
F1 1 477 25.117898 156.269
F1 1 478 25.322019 159.956
F1 1 479 25.53118 162.271
F1 1 480 25.585789 162.726
F1 1 481 25.59849 162.726
F1 1 482 25.663084 162.726
F1 2 1 0.037051 0
F1 2 2 0.14965 1.827
F1 2 3 0.215268 1.827
F1 2 4 0.225486 1.827
F1 2 5 0.229725 1.827
F1 2 6 0.372573 3.203
F1 2 7 0.380546 4.579
F1 2 8 0.435837 4.579
F1 2 9 0.464313 4.579
F1 2 10 0.696728 4.579
F1 2 11 0.735322 4.579
F1 2 12 0.756747 5.034
F1 2 13 0.767827 5.034
F1 2 14 0.900447 5.488
F1 2 15 1.131238 7.786
F1 2 16 1.239322 7.786
F1 2 17 1.256564 7.786
F1 2 18 0.853959 8.7
F1 2 19 1.323871 9.609
F1 2 20 1.437438 10.522
F1 2 21 1.456906 10.522
F1 2 22 1.660823 11.435
F1 2 23 1.824087 11.89
F1 2 24 1.845233 12.344
F1 2 25 1.8804670000000001 12.344
F1 2 26 1.956653 13.258
F1 2 27 2.258225 13.712
F1 2 28 2.277601 13.712
F1 2 29 2.423314 14.626
F1 2 30 2.523179 14.626
F1 2 31 2.586393 14.626
F1 2 32 2.596313 14.626
F1 2 33 2.635211 14.626
F1 2 34 2.669087 14.626
F1 2 35 2.673232 14.626
F1 2 36 2.706037 14.626
F1 2 37 2.816876 14.626
F1 2 38 2.833204 14.626
F1 2 39 2.835964 15.08
F1 2 40 2.856232 15.08
F1 2 41 2.873796 15.08
F1 2 42 2.940845 15.08
F1 2 43 2.969276 15.08
F1 2 44 3.009165 15.535
F1 2 45 3.023236 15.535
F1 2 46 3.023233 15.989
F1 2 47 3.069302 16.444
F1 2 48 3.209776 17.357
F1 2 49 3.314074 18.27
F1 2 50 3.219465 18.725
F1 2 51 3.252072 18.725
F1 2 52 3.32587 18.725
F1 2 53 3.314077 19.179
F1 2 54 3.386012 19.179
F1 2 55 3.37931 19.634
F1 2 56 3.400509 19.634
F1 2 57 3.398096 20.088
F1 2 58 3.442706 20.088
F1 2 59 3.536103 20.088
F1 2 60 3.557066 20.543
F1 2 61 3.643832 20.998
F1 2 62 3.673429 20.998
F1 2 63 3.673432 20.998
F1 2 64 3.713055 20.998
F1 2 65 3.731889 20.998
F1 2 66 3.734994 20.998
F1 2 67 3.756863 20.998
F1 2 68 3.759157 20.998
F1 2 69 3.767627 20.998
F1 2 70 3.783106 20.998
F1 2 71 3.720264 21.452
F1 2 72 3.843602 21.452
F1 2 73 3.845502 21.452
F1 2 74 3.852478 21.452
F1 2 75 3.878812 21.907
F1 2 76 3.928231 22.82
F1 2 77 3.987659 23.274
F1 2 78 4.005226 23.274
F1 2 79 4.052337 24.651
F1 2 80 4.090143 25.105
F1 2 81 4.112336 25.56
F1 2 82 4.175315 26.014
F1 2 83 4.262622 27.391
F1 2 84 4.306668 28.754
F1 2 85 4.369735 28.754
F1 2 86 4.413138 28.754
F1 2 87 4.426296 28.754
F1 2 88 4.461907 28.754
F1 2 89 4.515724 30.13
F1 2 90 4.55123 30.13
F1 2 91 4.604568 30.585
F1 2 92 4.613877 30.585
F1 2 93 4.619463 30.585
F1 2 94 4.578499 31.04
F1 2 95 4.674528 31.494
F1 2 96 4.677432 31.494
F1 2 97 4.70142 31.494
F1 2 98 4.746706 31.949
F1 2 99 4.68862 32.403
F1 2 100 4.775537 33.316
F1 2 101 4.786153 33.316
F1 2 102 4.796828 33.771
F1 2 103 4.865183 33.771
F1 2 104 4.882579 33.771
F1 2 105 4.883206 33.771
F1 2 106 4.926873 33.771
F1 2 107 4.805386 34.226
F1 2 108 4.845918 34.226
F1 2 109 4.928513 34.68
F1 2 110 5.016213 35.135
F1 2 111 5.089659 35.135
F1 2 112 5.17924 36.502
F1 2 113 5.170823 36.957
F1 2 114 5.210985 36.957
F1 2 115 5.298066 38.333
F1 2 116 5.314859 38.333
F1 2 117 5.239624 38.788
F1 2 118 5.274022 38.788
F1 2 119 5.351672 39.697
F1 2 120 5.378778 40.61
F1 2 121 5.450355 41.986
F1 2 122 5.56637 42.9
F1 2 123 5.601342 43.809
F1 2 124 5.606352 43.809
F1 2 125 5.61039 43.809
F1 2 126 5.663317 45.652
F1 2 127 5.689867 45.652
F1 2 128 5.716477 46.107
F1 2 129 5.782655 47.95
F1 2 130 5.876841 47.95
F1 2 131 5.919037 49.327
F1 2 132 5.924932 49.327
F1 2 133 5.936874 49.327
F1 2 134 5.943892 51.17
F1 2 135 6.2572 54.928
F1 2 136 6.195423 55.382
F1 2 137 6.305086 56.296
F1 2 138 6.307853 56.296
F1 2 139 6.312076 56.296
F1 2 140 6.320512 56.75
F1 2 141 6.337229 56.75
F1 2 142 6.386892 58.594
F1 2 143 6.585381 62.281
F1 2 144 6.648431 62.281
F1 2 145 6.721446 62.281
F1 2 146 6.763355 62.281
F1 2 147 6.989385 62.735
F1 2 148 6.805513 63.19
F1 2 149 6.834399 63.19
F1 2 150 6.853211 63.19
F1 2 151 6.891967 63.19
F1 2 152 6.967428 63.19
F1 2 153 6.967578 63.19
F1 2 154 6.98323 63.19
F1 2 155 6.998055 63.19
F1 2 156 7.042457 63.644
F1 2 157 7.155538 64.558
F1 2 158 7.162865 65.012
F1 2 159 7.209481 65.012
F1 2 160 7.259375 65.012
F1 2 161 7.360604 65.012
F1 2 162 7.509024 65.012
F1 2 163 7.52798 65.012
F1 2 164 7.540363 65.012
F1 2 165 7.540366 65.012
F1 2 166 7.542768 65.012
F1 2 167 8.255585 65.467
F1 2 168 8.594835 65.921
F1 2 169 8.766668 65.921
F1 2 170 8.915887 65.921
F1 2 171 8.917818 65.921
F1 2 172 8.921727 65.921
F1 2 173 9.012261 65.921
F1 2 174 9.018757 65.921
F1 2 175 9.020507 65.921
F1 2 176 9.021603 65.921
F1 2 177 9.22135 65.921
F1 2 178 9.223309 66.376
F1 2 179 7.881756 66.83
F1 3 1 0.132856 0
F1 3 2 0.058703 1.3759999999999906
F1 3 3 0 2.2849999999999966
F1 3 4 0.454377 3.6529999999999916
F1 3 5 0.851552 5.028999999999996
F1 3 6 0.742672 5.028999999999996
F1 3 7 1.301932 7.343999999999994
F1 3 8 1.229874 7.343999999999994
F1 3 9 1.818197 11.027000000000001
F1 3 10 1.80091 11.027000000000001
F1 3 11 1.937187 11.482
F1 3 12 1.889782 11.482
F1 3 13 1.955657 11.936999999999998
F1 3 14 1.896168 11.936999999999998
F1 3 15 1.995731 12.390999999999991
F1 3 16 2.236927 13.766999999999996
F1 3 17 2.17857 13.766999999999996
F1 3 18 2.132751 13.766999999999996
F1 3 19 2.323102 15.143999999999991
F1 3 20 2.254226 15.143999999999991
F1 3 21 2.386299 16.056999999999988
F1 3 22 2.64186 26.90299999999999
F1 3 23 2.788807 29.21799999999999
F1 3 24 2.844647 30.131
F1 3 25 2.985136 30.586
F1 3 26 3.057028 31.95299999999999
F1 3 27 3.252953 32.863
F1 3 28 3.251722 32.863
F1 3 29 3.24888 32.863
F1 3 30 3.194344 32.863
F1 3 31 3.165129 32.863
F1 3 32 3.122197 32.863
F1 3 33 3.083913 32.863
F1 3 34 3.076082 32.863
F1 3 35 3.355866 33.31699999999999
F1 3 36 3.390757 33.77199999999999
F1 3 37 3.364191 33.77199999999999
F1 3 38 3.356217 33.77199999999999
F1 3 39 3.282365 33.77199999999999
F1 3 40 3.48168 34.226
F1 3 41 3.425869 34.226
F1 3 42 3.41534 34.226
F1 3 43 3.509783 34.681
F1 3 44 3.505131 34.681
F1 3 45 3.489152 34.681
F1 3 46 3.515465 35.58999999999999
F1 3 47 3.57055 36.965999999999994
F1 3 48 3.607982 37.87899999999999
F1 3 49 3.708617 38.33399999999999
F1 3 50 3.707955 38.33399999999999
F1 3 51 3.707472 38.33399999999999
F1 3 52 3.697086 38.33399999999999
F1 3 53 3.641804 38.33399999999999
F1 3 54 3.750534 38.788
F1 3 55 3.823025 40.15599999999999
F1 3 56 3.99244 41.532
F1 3 57 3.992437 41.532
F1 3 58 3.965782 41.532
F1 3 59 4.09176 42.446
F1 3 60 4.076718 42.446
F1 3 61 4.057522 42.446
F1 3 62 4.608775 42.89999999999999
F1 3 63 4.317452 42.89999999999999
F1 3 64 4.2725 42.89999999999999
F1 3 65 4.269998 42.89999999999999
F1 3 66 4.243734 42.89999999999999
F1 3 67 4.233549 42.89999999999999
F1 3 68 4.195487 42.89999999999999
F1 3 69 4.18479 42.89999999999999
F1 3 70 4.172616 42.89999999999999
F1 3 71 4.154703 42.89999999999999
F1 3 72 4.153118 42.89999999999999
F1 3 73 4.133849 42.89999999999999
F1 3 74 4.124189 42.89999999999999
F1 3 75 4.113053 42.89999999999999
F1 3 76 4.607566 43.35499999999999
F1 3 77 4.574098 43.35499999999999
F1 3 78 4.486912 43.35499999999999
F1 3 79 4.371099 43.35499999999999
F1 3 80 4.371096 43.35499999999999
F1 3 81 4.344341 43.35499999999999
F1 3 82 4.643898 43.809
F1 3 83 4.742599 44.723
F1 3 84 4.735092 44.723
F1 3 85 4.716093 44.723
F1 3 86 4.691744 44.723
F1 3 87 4.688555 44.723
F1 3 88 4.681808 44.723
F1 3 89 4.877837 45.17699999999999
F1 3 90 4.852347 45.17699999999999
F1 3 91 5.134894 45.63199999999999
F1 3 92 4.98976 45.63199999999999
F1 3 93 4.965922 45.63199999999999
F1 3 94 4.959481 45.63199999999999
F1 3 95 4.943856 45.63199999999999
F1 3 96 4.938724 45.63199999999999
F1 3 97 4.920325 45.63199999999999
F1 3 98 4.905417 45.63199999999999
F1 3 99 5.103032 46.086
F1 3 100 5.101442 46.086
F1 3 101 5.138489 47.462999999999994
F1 3 102 5.24055 47.917
F1 3 103 5.29159 48.83
F1 3 104 5.564844 50.206999999999994
F1 3 105 5.564841 50.206999999999994
F1 3 106 5.638511 51.12
F1 3 107 5.746516 51.574
F1 3 108 5.848606 52.028999999999996
F1 3 109 5.806974 52.028999999999996
F1 3 110 6.154653 52.94199999999999
F1 3 111 6.01012 52.94199999999999
F1 3 112 6.0042 52.94199999999999
F1 3 113 6.29035 53.39699999999999
F1 3 114 6.283973 53.39699999999999
F1 3 115 6.199114 53.39699999999999
F1 3 116 6.141843 53.39699999999999
F1 3 117 6.114413 53.39699999999999
F1 3 118 6.34907 53.85099999999999
F1 3 119 6.348241 53.85099999999999
F1 3 120 6.340264 53.85099999999999
F1 3 121 6.320589 53.85099999999999
F1 3 122 6.201132 53.85099999999999
F1 3 123 6.17021 53.85099999999999
F1 3 124 6.75452 54.306
F1 3 125 6.671735 54.306
F1 3 126 6.67119 54.306
F1 3 127 6.820727 54.76
F1 3 128 6.811812 54.76
F1 3 129 6.787714 54.76
F1 3 130 7.06163 55.214999999999996
F1 3 131 7.037176 55.214999999999996
F1 3 132 7.034855 55.214999999999996
F1 3 133 7.007083 55.214999999999996
F1 3 134 7.003589 55.214999999999996
F1 3 135 6.988157 55.214999999999996
F1 3 136 6.954607 55.214999999999996
F1 3 137 6.909799 55.214999999999996
F1 3 138 7.052995 55.669999999999995
F1 3 139 7.711497 56.123999999999995
F1 3 140 7.61788 56.123999999999995
F1 3 141 7.59151 56.123999999999995
F1 3 142 7.496567 56.123999999999995
F1 3 143 7.48557 56.123999999999995
F1 3 144 7.484493 56.123999999999995
F1 3 145 7.396811 56.123999999999995
F1 3 146 7.279537 56.123999999999995
F1 3 147 7.247663 56.123999999999995
F1 3 148 7.207904 56.123999999999995
F1 3 149 7.826866 56.57899999999999
F1 3 150 7.781855 56.57899999999999
F1 3 151 7.76844 56.57899999999999
F1 3 152 7.636172 56.57899999999999
F1 3 153 8.07771 57.032999999999994
F1 3 154 8.063212 57.032999999999994
F1 3 155 7.966232 57.032999999999994
F1 3 156 7.935269 57.032999999999994
F1 3 157 7.914506 57.032999999999994
F1 3 158 7.899256 57.032999999999994
F1 3 159 7.896594 57.032999999999994
F1 3 160 7.871855 57.032999999999994
F1 3 161 7.854189 57.032999999999994
F1 3 162 7.842817 57.032999999999994
F1 3 163 8.55334 57.48799999999999
F1 3 164 8.529024 57.48799999999999
F1 3 165 8.472435 57.48799999999999
F1 3 166 8.397738 57.48799999999999
F1 3 167 8.384384 57.48799999999999
F1 3 168 8.341934 57.48799999999999
F1 3 169 8.339682 57.48799999999999
F1 3 170 8.329065 57.48799999999999
F1 3 171 8.304346 57.48799999999999
F1 3 172 8.303921 57.48799999999999
F1 3 173 8.227674 57.48799999999999
F1 3 174 8.179462 57.48799999999999
F1 3 175 8.139192 57.48799999999999
F1 3 176 8.701412 58.400999999999996
F1 3 177 8.682207 58.400999999999996
F1 3 178 8.667133 58.400999999999996
